id,has_practice_effects,file,posterior_p_a,prior_p_a,posterior_inv_temp,prior_inv_temp,posterior_state_exploration,prior_state_exploration,fixed_parameter_exploration,posterior_Rsensitivity,prior_Rsensitivity,fixed_reward_value,fixed_l_loss_value,posterior_eta,prior_eta,posterior_omega,prior_omega,avg_act_prob_time1,avg_act_prob_time2,avg_model_acc_time1,avg_model_acc_time2,LL,percent_win_choose_other,percent_lose_choose_same,percent_choose_advisor_after_bad_advice,time_advisor_chosen,F,modelAIorRL
6646592895602daa1e66b648,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6646592895602daa1e66b648_T1_2024-05-18_12h26.32.813.csv,0.642989654597538,0.8,1.32856849408451,1,13.1217973763386,1,0,3.33112776071822,2,1,1,0.79273835267881,0.5,0.246839673803077,0.2,0.613719851866926,0.56991261478856,0.669444444444444,0.722689075630252,-388.138371849576,0.0982905982905983,0.272,0.905660377358491,238,-405.203861842466,1
6647e0c35e49c207ba28fdb9,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6647e0c35e49c207ba28fdb9_T2_2024-07-29_19h26.28.046.csv,0.557110885256832,0.8,3.50729522184142,1,16.1580278322009,1,0,0.794934203711572,2,1,1,0.741745062708896,0.5,0.195428997139279,0.2,0.569245150017051,0.580523960006109,0.711111111111111,0.589041095890411,-307.920569374235,0.0995024875621891,0.531645569620253,0.761904761904762,73,-329.57508826818,1
6648becccd1bf5a6e253577b,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6648becccd1bf5a6e253577b_T2_2024-06-27_10h37.19.507.csv,0.878224941168518,0.8,6.88475476177226,1,3.06722854069337,1,0,2.79419309996483,2,1,1,0.227393323879426,0.5,0.0368459712094403,0.2,0.809502544183716,0.915801057286433,0.855555555555556,0.960869565217391,-161.445494363051,0,0.347826086956522,0.810344827586207,230,-180.178866930807,1
6648e9264880fad56eebf485,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6648e9264880fad56eebf485_T2_2024-07-30_17h28.48.317.csv,0.94374321390338,0.8,6.48833128559632,1,0.81396954051951,1,0,2.10662656534146,2,1,1,0.277341005824094,0.5,0.0238763933810616,0.2,0.505129785578708,0.934309056579931,0.683333333333333,0.945205479452055,-314.086231671645,0.0600858369098712,0.380952380952381,0.375,73,-332.929196668271,1
664a0cc1ee0b6791cd3c7b55,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_664a0cc1ee0b6791cd3c7b55_T1_2024-07-18_05h37.34.593.csv,0.666379996327967,0.8,5.25382304384951,1,3.32246454789111,1,0,2.58705639743435,2,1,1,0.668922923821136,0.5,0.155700823097648,0.2,0.642113151182334,0.701506554695734,0.736111111111111,0.779661016949153,-249.680519854475,0.0398230088495575,0.421052631578947,0.307692307692308,59,-263.50023782511,1
664a910980871d3cd7944412,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_664a910980871d3cd7944412_T2_2024-07-23_21h02.04.910.csv,0.910862597852255,0.8,3.07751999673324,1,1.63845090492606,1,0,2.9942628048395,2,1,1,0.383908969012958,0.5,0.0237589630768913,0.2,0.447843213958811,0.790836462526871,0.580555555555556,0.920245398773006,-392.134085269763,0.143478260869565,0.27906976744186,0.75,163,-407.024546410797,1
664b31793e9619258b204011,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_664b31793e9619258b204011_T2_2024-07-11_08h19.45.850.csv,0.636295464451173,0.8,6.13368573067055,1,1.06768871875126,1,0,2.79580545791617,2,1,1,0.776174343337723,0.5,0.643164920119955,0.2,0.78044638259541,0.602168625421012,0.897222222222222,0.666666666666667,-156.85231573182,0.0394736842105263,0.152671755725191,0.333333333333333,12,-171.321810325905,1
664b3b0db7eb225f6d56922c,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_664b3b0db7eb225f6d56922c_T1_2024-07-05_17h26.55.575.csv,0.58229854533576,0.8,2.34709707612908,1,15.9754268007511,1,0,3.08489067298014,2,1,1,0.765915727443203,0.5,0.229576568850349,0.2,0.645359106786692,0.639845023435072,0.713888888888889,0.756756756756757,-336.307215363852,0.0454545454545455,0.230769230769231,0.775510204081633,222,-355.996144033891,1
664b4af989da4c25d181f27e,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_664b4af989da4c25d181f27e_T1_2024-06-10_20h36.05.030.csv,0.797498952131848,0.8,3.13205716976989,1,2.22320492764963,1,0,2.77191826461741,2,1,1,0.0832430816103533,0.5,0.00644928359967457,0.2,0.48675131295287,0.715101572642669,0.622222222222222,0.841409691629956,-417.862932598587,0.106194690265487,0.12781954887218,0.704545454545455,227,-446.115311713552,1
664b550820b57425a150d8e2,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_664b550820b57425a150d8e2_T1_2024-07-03_20h53.22.257.csv,0.511311650765452,0.8,1.73852584716709,1,12.6764100454237,1,0,2.39305116910328,2,1,1,0.705684583191583,0.5,0.127094841365582,0.2,0.540528583629722,0.589391370950947,0.616666666666667,0.754098360655738,-386.923881196809,0.2,0.141791044776119,0.807692307692308,183,-402.799675154985,1
