id,has_practice_effects,file,posterior_p_a,prior_p_a,posterior_inv_temp,prior_inv_temp,posterior_state_exploration,prior_state_exploration,fixed_parameter_exploration,posterior_Rsensitivity,prior_Rsensitivity,fixed_reward_value,fixed_l_loss_value,posterior_eta_d,prior_eta_d,posterior_eta_a,prior_eta_a,posterior_omega,prior_omega,avg_act_prob_time1,avg_act_prob_time2,avg_model_acc_time1,avg_model_acc_time2,LL,percent_win_choose_other,percent_lose_choose_same,percent_choose_advisor_after_bad_advice,time_advisor_chosen,F,modelAIorRL
6658e9b7aab263fcab6c9c72,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6658e9b7aab263fcab6c9c72_T2_2024-07-29_22h17.14.834.csv,0.846686926565166,0.8,3.88729048907401,1,0.646230522809744,1,0,4.02776038803349,2,1,1,0.826398256128793,0.5,0.592252977306273,0.5,0.431721900534167,0.2,0.616259420994197,0.551322694980141,0.788888888888889,0.68,-285.876457581987,0.0172413793103448,0.228346456692913,0.222222222222222,50,-297.644547906015,1
6658f43c81732302f479d0d4,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6658f43c81732302f479d0d4_T2_2024-07-10_06h44.26.832.csv,0.748247174004581,0.8,4.98554577203957,1,1.91212757545389,1,0,1.87834118798427,2,1,1,0.521904440589391,0.5,0.639000583809425,0.5,0.0834726482628431,0.2,0.555620539358323,0.819624462915752,0.672222222222222,0.908045977011494,-301.083692939567,0.0651162790697674,0.493055555555556,0.578947368421053,87,-313.743208449454,1
6659f976774b5910114ec891,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6659f976774b5910114ec891_T2_2024-08-01_13h43.40.579.csv,0.745868854944898,0.8,4.04037106940574,1,2.16487803237123,1,0,1.42479886202819,2,1,1,0.600295090293442,0.5,0.675473920641585,0.5,0.0859818424638697,0.2,0.553885480132604,0.719685492037089,0.686111111111111,0.761467889908257,-321.245694017865,0.0545454545454545,0.359712230215827,0.533333333333333,109,-333.867991787713,1
665a421acec6848f16a01035,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_665a421acec6848f16a01035_T2_2024-07-31_19h18.45.740.csv,0.637704973553642,0.8,4.41464677474395,1,4.74776367653885,1,0,2.62453078403913,2,1,1,0.104124867064923,0.5,0.156042336053833,0.5,0.0473824082907066,0.2,0.499428897844957,0.679650639296708,0.597222222222222,0.813725490196078,-352.534511793707,0.164444444444444,0.470149253731343,0.772727272727273,102,-377.22109685607,1
665ae2d4ecf98c5daa3ce7fe,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_665ae2d4ecf98c5daa3ce7fe_T1_2024-07-20_12h18.08.212.csv,0.788358407134082,0.8,6.30686771252057,1,0.848074609858992,1,0,2.15030822435876,2,1,1,0.551099935356085,0.5,0.496780670779067,0.5,0.211115614032088,0.2,0.696750245978497,0.732516647044714,0.783333333333333,0.75,-185.835001301067,0.100478468899522,0.38,0,8,-194.338099506417,1
665daa0b432c3a3ad423ea34,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_665daa0b432c3a3ad423ea34_T1_2024-07-30_08h24.46.114.csv,0.781340224885955,0.8,2.83219867816953,1,2.71631907953148,1,0,3.73328487431867,2,1,1,0.499252229583496,0.5,0.76254141337745,0.5,0.15847356028839,0.2,0.47962618272414,0.687073029900692,0.605555555555556,0.779527559055118,-380.555599661928,0.108786610878661,0.283333333333333,0.869565217391304,127,-392.239683256985,1
665f1275a8344d26d5e340f5,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_665f1275a8344d26d5e340f5_T1_2024-07-22_19h38.03.644.csv,0.511100917080545,0.8,5.45859131373844,1,16.5441239322767,1,0,1.09814411433836,2,1,1,0.108091935903036,0.5,0.738535551815424,0.5,0.326581617505937,0.2,0.498934956780226,0.594302267224511,0.555555555555556,0.7,-285.200663927378,0.262857142857143,0.521739130434783,0.8,20,-310.604804086002,1
665f58d933f0031a4058b642,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_665f58d933f0031a4058b642_T1_2024-07-05_00h45.00.197.csv,0.847782088115339,0.8,5.2740246453468,1,2.46693155501614,1,0,3.28439114650175,2,1,1,0.322489118285712,0.5,0.203293154960256,0.5,0.0148439467984117,0.2,0.661140035169255,0.877937230498803,0.75,0.960474308300395,-271.849778007861,0.05078125,0.174757281553398,0.75,253,-295.410437645181,1
665f8b8b8bacd56af9e28b97,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_665f8b8b8bacd56af9e28b97_T1_2024-07-30_15h11.14.119.csv,0.93963546739482,0.8,3.13286120220664,1,1.81623319849212,1,0,1.4070209406298,2,1,1,0.534517913987206,0.5,0.178970978206542,0.5,0.00978652995304599,0.2,0.513608661666045,0.786162863220932,0.638888888888889,0.894977168949772,-379.492670414621,0.0765957446808511,0.0725806451612903,0.486486486486487,219,-403.448035600938,1
665f9802109374808c44de37,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_665f9802109374808c44de37_T1_2024-07-24_15h16.26.947.csv,0.731053380424059,0.8,2.35243073961719,1,2.76486881785465,1,0,2.01127384851725,2,1,1,0.0566189973598342,0.5,0.669085538199026,0.5,0.15262570321414,0.2,0.385794009969942,0.624835089679613,0.427777777777778,0.837606837606838,-431.814350926313,0.368686868686869,0.496894409937888,0.793103448275862,117,-448.769824145471,1
