id,has_practice_effects,file,posterior_p_a,prior_p_a,posterior_inv_temp,prior_inv_temp,posterior_state_exploration,prior_state_exploration,fixed_parameter_exploration,posterior_Rsensitivity,prior_Rsensitivity,fixed_reward_value,fixed_l_loss_value,posterior_eta_d_win,prior_eta_d_win,posterior_eta_d_loss,prior_eta_d_loss,posterior_eta_a_win,prior_eta_a_win,posterior_eta_a_loss,prior_eta_a_loss,posterior_omega,prior_omega,avg_act_prob_time1,avg_act_prob_time2,avg_model_acc_time1,avg_model_acc_time2,LL,percent_win_choose_other,percent_lose_choose_same,percent_choose_advisor_after_bad_advice,time_advisor_chosen,F,modelAIorRL
6637725bb8c26344d88019bb,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6637725bb8c26344d88019bb_T1_2024-07-04_17h08.15.856.csv,0.638837766232149,0.8,4.27688748457469,1,0.833616191305382,1,0,1.06067693411246,2,1,1,0.408011093416755,0.5,0.541888628317894,0.5,0.493191511058145,0.5,0.517693522143321,0.5,0.678657916651871,0.2,0.543741135208794,0.514645502094526,0.713888888888889,0.529411764705882,-283.035999998894,0.262626262626263,0.242236024844721,0.2,17,-295.496800190367,1
6638d55b77829762c4d21609,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6638d55b77829762c4d21609_T1_2024-07-20_06h10.44.038.csv,0.565418773796404,0.8,4.13548957160601,1,4.25589505323685,1,0,2.79843109766302,2,1,1,0.577030447041163,0.5,0.468397627698471,0.5,0.752120414229468,0.5,0.23373829183703,0.5,0.256724976303484,0.2,0.551841974246676,0.653945179133455,0.666666666666667,0.695652173913043,-294.208011998433,0.219512195121951,0.311688311688312,0.4,46,-311.137533525369,1
6638f3d967d2828b285f176d,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6638f3d967d2828b285f176d_T2_2024-06-25_18h35.48.289.csv,0.643871649830792,0.8,6.85496842340977,1,0.756710861519817,1,0,0.5071167422397,2,1,1,0.339415420208246,0.5,0.0540534023707247,0.5,0.5,0.5,0.5,0.5,0.252797664577216,0.2,0.623077172662836,NA,0.708333333333333,NA,-208.863661130385,0.24468085106383,0.619883040935672,NA,0,-229.188923310068,1
6638f721ac4b7a399d3d9229,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6638f721ac4b7a399d3d9229_T2_2024-06-14_09h50.09.217.csv,0.90524801101941,0.8,4.73507656128159,1,1.35893385155823,1,0,2.63910146990285,2,1,1,0.159929024432168,0.5,0.15423914615751,0.5,0.709546238923078,0.5,0.173108251449134,0.5,0.0662860500812471,0.2,0.446985467529104,0.886115872682103,0.555555555555556,0.970930232558139,-372.961323338211,0.0598290598290598,0.36,0.238095238095238,172,-396.312799655062,1
663929054c48656122cd8aa1,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_663929054c48656122cd8aa1_T2_2024-06-12_16h23.53.934.csv,0.83168506584452,0.8,2.25906316622884,1,4.19705919286663,1,0,3.38373217843231,2,1,1,0.159212424360188,0.5,0.399980886554363,0.5,0.850550265952396,0.5,0.122516309782175,0.5,0.152068160961702,0.2,0.646946799378087,0.680889288443017,0.705555555555556,0.830324909747292,-364.508298447677,0.0666666666666667,0.119402985074627,0.885245901639344,277,-386.084162213845,1
66396a8bcc746f2fa4177d5f,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_66396a8bcc746f2fa4177d5f_T2_2024-06-20_16h34.44.181.csv,0.894699304892127,0.8,3.82917831535691,1,2.048655092933,1,0,3.16180653741783,2,1,1,0.216048018243137,0.5,0.487560971330895,0.5,0.615177222089696,0.5,0.259559794411022,0.5,0.0417935940081154,0.2,0.607749265909566,0.827600300174556,0.713888888888889,0.907488986784141,-318.757017069992,0.0460251046025105,0.1,0.74,227,-336.880117358809,1
663a13d140564554b431a688,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_663a13d140564554b431a688_T2_2024-07-30_22h21.15.680.csv,0.885508817578868,0.8,5.98295886038626,1,1.21458734582322,1,0,2.1652445306651,2,1,1,0.492753518718042,0.5,0.281591739757475,0.5,0.757737289835224,0.5,0.191294756272686,0.5,0.115200239564427,0.2,0.624233882866552,0.852387480951944,0.736111111111111,0.890909090909091,-248.947197721065,0.0552995391705069,0.457746478873239,0.461538461538462,55,-266.111426811962,1
663a4f68bebcc0715722dec7,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_663a4f68bebcc0715722dec7_T2_2024-07-28_14h35.09.287.csv,0.794935924456866,0.8,4.81461484062492,1,1.64277492969603,1,0,2.30050951147471,2,1,1,0.559981107298373,0.5,0.705371398792688,0.5,0.755518302845365,0.5,0.169361471796142,0.5,0.107049192397588,0.2,0.529509505243146,0.807388780298738,0.663888888888889,0.886075949367089,-313.768433354592,0.0833333333333333,0.290076335877863,0.368421052631579,79,-330.48533165697,1
663a5c3aff126ef7c5bd71a3,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_663a5c3aff126ef7c5bd71a3_T2_2024-06-07_23h16.25.009.csv,0.8826961948313,0.8,4.59878371941441,1,1.90354854015111,1,0,1.76349801154388,2,1,1,0.560790048669961,0.5,0.359457345868732,0.5,0.774819835851426,0.5,0.254540701926307,0.5,0.0381232061244654,0.2,0.635092181561008,0.869586144063725,0.708333333333333,0.932773109243697,-286.373506505034,0.037037037037037,0.310344827586207,0.823529411764706,238,-305.711129642915,1
663a5c54f0582b5d7603a1e6,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_663a5c54f0582b5d7603a1e6_T2_2024-06-25_12h41.42.450.csv,0.729262486210967,0.8,4.50282931261021,1,3.04673631758885,1,0,2.95090106640921,2,1,1,0.78010025068562,0.5,0.436089848897638,0.5,0.805714861786105,0.5,0.211877911825423,0.5,0.202174229592041,0.2,0.638376011934306,0.711677593530936,0.758333333333333,0.762376237623762,-278.660562830336,0.0211864406779661,0.390243902439024,0.75,101,-297.788210731677,1
663a63f7d07fee78a65a31a6,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_663a63f7d07fee78a65a31a6_T2_2024-06-20_11h35.42.482.csv,0.827508628713676,0.8,5.36044885578087,1,2.22766375178946,1,0,2.82962051200627,2,1,1,0.256398630774745,0.5,0.23612036114396,0.5,0.785326504292849,0.5,0.175709750031527,0.5,0.132646714774489,0.2,0.617763331529707,0.840583987883734,0.75,0.888157894736842,-280.079465600422,0.101769911504425,0.338345864661654,0.675,152,-301.467583602526,1
663a7af013938e6bbfb065d5,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_663a7af013938e6bbfb065d5_T2_2024-06-17_16h52.12.928.csv,0.809218191746088,0.8,4.18084448210464,1,1.41935137603363,1,0,3.05345846761739,2,1,1,0.0565860850323655,0.5,0.342780845978449,0.5,0.755682127017846,0.5,0.284751796948123,0.5,0.0768758166209985,0.2,0.423522096447841,0.85032488688244,0.502777777777778,0.954545454545455,-373.606868120447,0.168949771689498,0.35,0.263157894736842,110,-396.42200492107,1
663abe859bcc3ea8ef9bbdf3,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_663abe859bcc3ea8ef9bbdf3_T2_2024-06-17_16h54.11.071.csv,0.878996576954345,0.8,3.37934765150212,1,3.30572351734438,1,0,2.99126319647308,2,1,1,0.127958662276188,0.5,0.312567718027089,0.5,0.659301615851207,0.5,0.148335995210259,0.5,0.0439202660192586,0.2,0.752908496180222,0.786620487730496,0.822222222222222,0.855555555555556,-257.107685159733,0,0.0560747663551402,0.8,270,-280.334486649491,1
663ad1e9c4066faf455c913d,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_663ad1e9c4066faf455c913d_T2_2024-08-01_20h59.38.533.csv,0.757694614520893,0.8,4.71602165384156,1,0.759369563492301,1,0,0.842959353124756,2,1,1,0.610568235361631,0.5,0.29496562744763,0.5,0.565746229579447,0.5,0.470965899418104,0.5,0.315658156544523,0.2,0.596454187506331,0.538142035231011,0.702777777777778,0.4375,-253.725993168751,0.150485436893204,0.457516339869281,0.428571428571429,16,-263.731312527547,1
663ad56043fe3dec6ceffacd,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_663ad56043fe3dec6ceffacd_T2_2024-06-21_19h44.09.384.csv,0.730706856500123,0.8,3.95151287684827,1,1.94280458389135,1,0,2.83784170042896,2,1,1,0.307439155936872,0.5,0.274106229083385,0.5,0.76797534676172,0.5,0.36637598698255,0.5,0.0412847382084414,0.2,0.509853650017759,0.811439058562337,0.616666666666667,0.894409937888199,-352.793789663178,0.109649122807018,0.33587786259542,0.485714285714286,161,-371.70015765925,1
663b8df565dd08db10006c4e,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_663b8df565dd08db10006c4e_T2_2024-06-14_16h09.29.944.csv,0.898686875077411,0.8,7.54780079555131,1,0.784082221283783,1,0,1.3750865334121,2,1,1,0.580283298191857,0.5,0.405327707589136,0.5,0.490011932368831,0.5,0.499793905496844,0.5,0.353378924847546,0.2,0.724974000241993,0.813069718838783,0.836111111111111,0.875,-167.832843368401,0.0754716981132075,0.408163265306122,0,8,-180.440194684735,1
663c1487dd7b50c020023d58,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_663c1487dd7b50c020023d58_T2_2024-06-16_13h45.52.499.csv,0.788510572072945,0.8,5.11190444490486,1,1.35337816145541,1,0,1.3633722067337,2,1,1,0.359126482716122,0.5,0.422720136184202,0.5,0.771798512999658,0.5,0.158492619809174,0.5,0.0853426570490036,0.2,0.498580083366003,0.856508003794976,0.616666666666667,0.92,-319.110144750607,0.183962264150943,0.380952380952381,0.571428571428571,75,-337.114715199124,1
