id,has_practice_effects,file,posterior_p_a,prior_p_a,posterior_inv_temp,prior_inv_temp,posterior_state_exploration,prior_state_exploration,fixed_parameter_exploration,posterior_Rsensitivity,prior_Rsensitivity,fixed_reward_value,fixed_l_loss_value,posterior_omega,prior_omega,posterior_eta_d_win,prior_eta_d_win,posterior_eta_d_loss,prior_eta_d_loss,posterior_eta_a,prior_eta_a,avg_act_prob_time1,avg_act_prob_time2,avg_model_acc_time1,avg_model_acc_time2,times_chosen_advisor,percent_win_choose_other,percent_lose_choose_same,percent_choose_advisor_after_bad_advice,time_advisor_chosen,F,modelAIorRL
65bd4eb549b019b9990328dc,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_65bd4eb549b019b9990328dc_T1_2024-05-07_12h27.34.429.csv,0.628026643772164,0.8,6.93162367915435,1,1.63552786411409,1,0,1.64074379231062,2,1,1,0.321939054378033,0.2,0.388501289245175,0.5,0.437556866236208,0.5,0.643073566858913,0.5,0.615559659127126,0.709848101676242,0.741666666666667,0.75,20,0.177570093457944,0.262068965517241,0,20,-256.322079784473,1
65bf988fde82b668f87bc037,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_65bf988fde82b668f87bc037_T2_2024-07-14_22h13.16.623.csv,0.626649405396663,0.8,6.36880060797247,1,2.14039505421355,1,0,1.17055600437424,2,1,1,0.206075437632372,0.2,0.355132721902028,0.5,0.191333407625274,0.5,0.602675936492653,0.5,0.595558209797883,0.804071222043231,0.722222222222222,0.897959183673469,49,0.209090909090909,0.510791366906475,0.2,49,-282.942487782823,1
65c0f119fa8fd299fde6b9e2,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_65c0f119fa8fd299fde6b9e2_T2_2024-07-22_22h22.56.367.csv,0.627296524777417,0.8,9.1634524565714,1,0.623308857177149,1,0,2.47902883777871,2,1,1,0.292362232698883,0.2,0.52805111618018,0.5,0.506709125283715,0.5,0.500450237202659,0.5,0.765601423663645,0.899652690759412,0.822222222222222,1,1,0.0744186046511628,0.361111111111111,0,1,-147.742113110236,1
65c1126b379ff4faa4eba30c,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_65c1126b379ff4faa4eba30c_T2_2024-06-21_12h07.40.195.csv,0.686809945703019,0.8,6.58698150385383,1,2.50257798742784,1,0,3.36755626203003,2,1,1,0.0637846527520284,0.2,0.162686493122017,0.5,0.161287570994602,0.5,0.26505875867872303,0.5,0.633849821492388,0.872846243945608,0.719444444444444,0.945945945945946,185,0.0241935483870968,0.306306306306306,0.767441860465116,185,-299.476921528236,1
65c1d15018dd984dec38f4c3,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_65c1d15018dd984dec38f4c3_T2_2024-06-10_12h29.37.161.csv,0.817266015079189,0.8,8.89246164161003,1,1.29101858886285,1,0,0.603742052927238,2,1,1,0.413740548922454,0.2,0.663158390399813,0.5,0.382533752220345,0.5,0.217929318226217,0.5,0.572456464121364,0.938089453484726,0.683333333333333,0.971014492753623,138,0.038135593220339,0.203252032520325,0.405405405405405,138,-299.000618439177,1
65c243c37e0d77ca70ee030e,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_65c243c37e0d77ca70ee030e_T2_2024-06-10_23h02.20.164.csv,0.671671938348059,0.8,4.61154462512767,1,2.19593209028857,1,0,1.4936603113546,2,1,1,0.0900534335111733,0.2,0.406829806788925,0.5,0.441006916537086,0.5,0.673700650421464,0.5,0.543613515249166,0.795782783065752,0.622222222222222,0.87248322147651,149,0.128440366972477,0.347517730496454,0.733333333333333,149,-344.3810770775,1
65c25cf77dca9d7ca7d9ebdb,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_65c25cf77dca9d7ca7d9ebdb_T2_2024-06-22_09h05.01.040.csv,0.690809242989083,0.8,6.38265269398451,1,1.60350133368508,1,0,0.991311382918453,2,1,1,0.111944608423379,0.2,0.386792955068586,0.5,0.136773872528044,0.5,0.392715257186083,0.5,0.568131890486847,0.833587707826969,0.711111111111111,0.867647058823529,68,0.203619909502262,0.565217391304348,0.571428571428571,68,-308.530336397644,1
65c25e3de8b230c294f2b32c,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_65c25e3de8b230c294f2b32c_T2_2024-06-20_22h28.51.176.csv,0.725499312927232,0.8,4.65669937424701,1,2.16551394509982,1,0,1.58703308547176,2,1,1,0.169997894607446,0.2,0.397470201593668,0.5,0.247722340659639,0.5,0.253635440571484,0.5,0.500003771215683,0.775940694851625,0.602777777777778,0.895027624309392,181,0.0346320346320346,0.375,0.657894736842105,181,-389.696028894842,1
65c26e8407c01d7f38da9858,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_65c26e8407c01d7f38da9858_T2_2024-06-05_15h48.39.663.csv,0.560099973724177,0.8,4.59793042786765,1,3.81045886752659,1,0,2.81008216949701,2,1,1,0.247004950543511,0.2,0.213691624916332,0.5,0.502971253852532,0.5,0.563878900021115,0.5,0.520695562299452,0.742308566016901,0.638888888888889,0.782608695652174,46,0.261780104712042,0.303571428571429,0.5,46,-322.42347434366,1
65c3a122f00056edea1e17d0,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_65c3a122f00056edea1e17d0_T2_2024-06-09_03h49.25.890.csv,0.69585181047999,0.8,5.20287036970102,1,1.47099902986915,1,0,1.12229097044667,2,1,1,0.260128791129297,0.2,0.126547082620166,0.5,0.336592507546233,0.5,0.628318595470626,0.5,0.435498578103223,0.808279790723552,0.555555555555556,0.918604651162791,86,0.291479820627803,0.330882352941176,0.411764705882353,86,-385.78343163998,1
65c783e5704051956c8ff924,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_65c783e5704051956c8ff924_T2_2024-07-17_19h10.33.498.csv,0.764877849658358,0.8,7.26918331930996,1,1.96932711047419,1,0,1.71633500482769,2,1,1,0.0248854969325869,0.2,0.20249656222479,0.5,0.0491962751442278,0.5,0.363768308977919,0.5,0.69867745591245,0.922712360788672,0.783333333333333,0.972067039106145,179,0.0170940170940171,0.448,0.767441860465116,179,-247.69916844473,1
65cb0f21257c8a98f470bb5d,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_65cb0f21257c8a98f470bb5d_T1_2024-05-21_02h37.45.105.csv,0.850776864306907,0.8,4.06142260703362,1,1.80302246746942,1,0,1.61144582752373,2,1,1,0.203970693509733,0.2,0.810098388422416,0.5,0.444610731960189,0.5,0.122547767207847,0.5,0.569718683930656,0.761580805304498,0.697222222222222,0.817391304347826,230,0.0416666666666667,0.0756302521008403,0.902439024390244,230,-369.642813655048,1
65cb8d0c2b10d0130f6ebaf0,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_65cb8d0c2b10d0130f6ebaf0_T1_2024-07-25_13h13.33.547.csv,0.8883838451764,0.8,3.54999711117661,1,0.559005264075429,1,0,1.08081628036432,2,1,1,0.0846534373467963,0.2,0.489851985856903,0.5,0.182229492658291,0.5,0.542706030079997,0.5,0.432769308965521,0.846958902448328,0.55,0.953125,64,0.305418719211823,0.397435897435897,0.7,64,-372.828673465806,1
65cba761b3d48a22dfc65d2f,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_65cba761b3d48a22dfc65d2f_T1_2024-05-18_11h51.39.490.csv,0.901253793566237,0.8,2.76235659354763,1,4.46753416237934,1,0,3.12907727692875,2,1,1,0.0229764292235055,0.2,0.0827077301448543,0.5,0.227054173680342,0.5,0.863066627700678,0.5,0.71349113876815,0.77142489179167,0.741666666666667,0.871212121212121,264,0.065843621399177,0.241379310344828,0.903846153846154,264,-302.581950415138,1
65cc041f70b1949ced29d0dc,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_65cc041f70b1949ced29d0dc_T1_2024-07-15_13h46.20.027.csv,0.885419358384764,0.8,5.57525400791276,1,0.614623517408194,1,0,1.81468978108174,2,1,1,0.761556143061255,0.2,0.473849982488139,0.5,0.63506487565202,0.5,0.265513147629996,0.5,0.542204845522686,0.944155181924854,0.719444444444444,0.980769230769231,52,0.122994652406417,0.156976744186047,0.5625,52,-314.863071427171,1
65cd5b72f200e9541dc051f7,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_65cd5b72f200e9541dc051f7_T1_2024-05-30_21h30.06.681.csv,0.734949478458909,0.8,2.38029385952917,1,3.15787439206073,1,0,2.77426082872502,2,1,1,0.0305383682979363,0.2,0.492679282121666,0.5,0.187165722447718,0.5,0.657727729656802,0.5,0.556297704246115,0.693402811347164,0.638888888888889,0.824884792626728,217,0.146666666666667,0.417910447761194,0.833333333333333,217,-397.148114808245,1
65ce6e580ff7827d2f4d5145,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_65ce6e580ff7827d2f4d5145_T1_2024-07-29_22h22.55.786.csv,0.500482787397864,0.8,5.30051616228784,1,8.57873140439046,1,0,0.786270425972719,2,1,1,0.794900812119816,0.2,0.188678347387815,0.5,0.0707024485075268,0.5,0.595144264150217,0.5,0.487956623916256,0.435520642688244,0.544444444444444,0.384615384615385,13,0.384180790960452,0.516483516483517,0.777777777777778,13,-324.256746765011,1
65d306f8b16eb5011ccb2025,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_65d306f8b16eb5011ccb2025_T2_2024-06-10_08h25.24.307.csv,0.683229212584045,0.8,6.79200492789059,1,2.22832794156718,1,0,2.44510507798833,2,1,1,0.333741996977728,0.2,0.197018477204617,0.5,0.119841086993802,0.5,0.192355522508662,0.5,0.424630412551856,0.839480405649209,0.544444444444444,0.942857142857143,140,0.105022831050228,0.321428571428571,0.6,140,-408.5093907235,1
65d3b304d331a798368e0595,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_65d3b304d331a798368e0595_T1_2024-07-17_17h45.05.761.csv,0.66065697255963,0.8,3.71045309192967,1,2.05521501458335,1,0,2.33943840938804,2,1,1,0.0781076524310994,0.2,0.18997285322047,0.5,0.391815501393386,0.5,0.661476006090909,0.5,0.466625547567293,0.754352435027014,0.594444444444444,0.830645161290323,124,0.192660550458716,0.148936170212766,0.633333333333333,124,-387.814249017506,1
