id,has_practice_effects,file,posterior_p_a,prior_p_a,posterior_inv_temp,prior_inv_temp,posterior_state_exploration,prior_state_exploration,fixed_parameter_exploration,posterior_Rsensitivity,prior_Rsensitivity,fixed_reward_value,fixed_l_loss_value,posterior_omega,prior_omega,posterior_eta_d,prior_eta_d,posterior_eta_a_win,prior_eta_a_win,posterior_eta_a_loss,prior_eta_a_loss,avg_act_prob_time1,avg_act_prob_time2,avg_model_acc_time1,avg_model_acc_time2,times_chosen_advisor,percent_win_choose_other,percent_lose_choose_same,percent_choose_advisor_after_bad_advice,time_advisor_chosen,F,modelAIorRL
570f018053cc8f000f8d4bbb,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_570f018053cc8f000f8d4bbb_T1_2024-05-20_16h37.31.638.csv,0.668221555522798,0.8,10.6466144873783,1,1.65603895539497,1,0,1.32835570025706,2,1,1,0.210994299621697,0.2,0.137571927148305,0.5,0.617293816994723,0.5,0.108593928353572,0.5,0.623207247518758,0.953019708877246,0.758333333333333,0.988372093023256,86,0.12962962962963,0.475524475524476,0.80952380952381,86,-268.921037589404,1
5769a352f48c3b00016737f9,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_5769a352f48c3b00016737f9_T2_2024-06-27_16h56.48.856.csv,0.718010421768582,0.8,17.895871855059,1,1.40637272054146,1,0,0.550308923671494,2,1,1,0.151151236950189,0.2,0.113466358360264,0.5,0.592822158231506,0.5,0.700418663461249,0.5,0.719902180270839,0.993906150745364,0.813888888888889,1,86,0.0333333333333333,0.521008403361345,0.333333333333333,86,-205.360878909816,1
576ad50bc8a90000010d99c8,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_576ad50bc8a90000010d99c8_T1_2024-05-07_10h43.57.771.csv,0.857664274559645,0.8,3.49733300435532,1,1.22675218936674,1,0,2.20527495331765,2,1,1,0.043271623925274,0.2,0.397049493777582,0.5,0.471762632137803,0.5,0.452702059496964,0.5,0.429432088874,0.788968261706538,0.577777777777778,0.867647058823529,136,0.164319248826291,0.267123287671233,0.586206896551724,136,-403.695635987919,1
577599baca706f000190eb48,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_577599baca706f000190eb48_T1_2024-05-21_20h09.57.735.csv,0.934095701019122,0.8,2.19733827290741,1,1.07427706109466,1,0,2.50523967526318,2,1,1,0.266622882036128,0.2,0.303087696433562,0.5,0.579629626277634,0.5,0.233708755860952,0.5,0.348824103464904,0.719181308364063,0.408333333333333,0.832214765100671,149,0.181372549019608,0.335483870967742,0.571428571428571,149,-463.653193363255,1
57ad04adddc11d00015bb1c3,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_57ad04adddc11d00015bb1c3_T1_2024-04-19_14h45.02.496.csv,0.646455370273321,0.8,8.11259959679321,1,2.34120549200196,1,0,2.88793033425451,2,1,1,0.43680781692824,0.2,0.062914917838973,0.5,0.699866664536295,0.5,0.0659475832788942,0.5,0.560050342655444,0.911661438762275,0.663888888888889,0.967532467532468,154,0.13963963963964,0.423357664233577,0.757575757575758,154,-330.553727812139,1
57b771677bcf1a00013f2ba8,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_57b771677bcf1a00013f2ba8_T1_2024-04-12_13h04.06.244.csv,0.903152912138189,0.8,5.56907235919817,1,1.69735207426857,1,0,1.19353723535583,2,1,1,0.0367467885860043,0.2,0.160520895419143,0.5,0.299752849432357,0.5,0.249948251632907,0.5,0.638310214880734,0.891873917066887,0.705555555555556,0.944,250,0.0788381742738589,0.144067796610169,0.754385964912281,250,-301.284586999781,1
57d0a0bee3221e00015fe385,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_57d0a0bee3221e00015fe385_T2_2024-06-10_14h41.43.408.csv,0.713245838930808,0.8,8.87215828354164,1,0.508016692886612,1,0,0.730321980369269,2,1,1,0.0653069652085287,0.2,0.451120355940367,0.5,0.577428108415394,0.5,0.309004574323113,0.5,0.686148844284776,0.84052544072096,0.766666666666667,1,5,0.0364583333333333,0.784431137724551,1,5,-199.721918941978,1
581649f0b434f0000184d2a9,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_581649f0b434f0000184d2a9_T1_2024-05-19_09h46.37.386.csv,0.731751335565974,0.8,6.66574358517943,1,1.66726048756862,1,0,3.39381632631174,2,1,1,0.277565023736191,0.2,0.261328853076164,0.5,0.564272698909128,0.5,0.103909574207288,0.5,0.547265302855488,0.877757335694603,0.663888888888889,0.934010152284264,197,0.0590717299578059,0.204918032786885,0.731707317073171,197,-341.762532912183,1
586371807fbbcd00013972ad,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_586371807fbbcd00013972ad_T1_2024-04-19_16h04.26.759.csv,0.915052052558761,0.8,2.7414128367490598,1,4.35099662365829,1,0,1.65867473389669,2,1,1,0.259361516295,0.2,0.392986977472793,0.5,0.195703939887705,0.5,0.165299616387626,0.5,0.950531560158837,0.723401322871116,0.980555555555556,0.807365439093484,353,0,0.0338983050847458,0.9875,353,-219.826166983533,1
587418895c17910001ea4e75,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_587418895c17910001ea4e75_T1_2024-05-20_18h02.20.540.csv,0.600208070934465,0.8,4.62682133685164,1,3.90027235630505,1,0,3.10218185535359,2,1,1,0.411661126331591,0.2,0.607744662732312,0.5,0.797615684370737,0.5,0.0783131415098555,0.5,0.603724382992005,0.764709492508414,0.738888888888889,0.842857142857143,140,0.0252100840336134,0.272727272727273,0.777777777777778,140,-330.899005614876,1
58935d5d4d77be0001689f14,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_58935d5d4d77be0001689f14_T2_2024-06-17_11h12.24.054.csv,0.578553255632684,0.8,6.63101066936637,1,1.9810191960719301,1,0,0.62388715321625,2,1,1,0.0641773512854712,0.2,0.127754729698085,0.5,0.62836289924488,0.5,0.507563411409363,0.5,0.571608697641836,0.713089288468122,0.672222222222222,0.75,16,0.190954773869347,0.65,0.25,16,-270.520229951374,1
