id,has_practice_effects,file,posterior_p_a,prior_p_a,posterior_inv_temp,prior_inv_temp,fixed_state_exploration,fixed_parameter_exploration,posterior_Rsensitivity,prior_Rsensitivity,posterior_reward_value,prior_reward_value,fixed_l_loss_value,posterior_eta_d,prior_eta_d,posterior_eta_a_win,prior_eta_a_win,posterior_eta_a_loss,prior_eta_a_loss,posterior_omega_d,prior_omega_d,posterior_omega_a,prior_omega_a,fixed_lamgda,avg_act_prob_time1,avg_act_prob_time2,avg_model_acc_time1,avg_model_acc_time2,times_chosen_advisor,percent_win_choose_other,percent_lose_choose_same,percent_choose_advisor_after_bad_advice,time_advisor_chosen,F,modelAIorRL
664bf2201abae3378784ee1a,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_664bf2201abae3378784ee1a_T2_2024-06-22_08h49.15.047.csv,0.851144657099929,0.8,1.60780531860688,1,1,0,1.13395201485853,2,7.20054598670885,4,4,0.00995081059195217,0.5,0.511737829922372,0.5,0.0846024036519284,0.5,0.0250622360015953,0.2,0.3819240568541,0.2,1,0.596063527569508,0.950555064234462,0.694444444444444,0.967741935483871,155,0.149122807017544,0.389312977099237,0.84,155,-307.81483764626,3
664c3cfeeccf0399b4110f7d,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_664c3cfeeccf0399b4110f7d_T2_2024-07-05_21h17.28.285.csv,0.77467602011028,0.8,1.42376494502435,1,1,0,1.37879574384482,2,4.94089692926488,4,4,0.17390356506914,0.5,0.459869659239477,0.5,0.233879492340647,0.5,0.539995574221385,0.2,0.0342318115371286,0.2,1,0.592281998349382,0.965233144892934,0.716666666666667,0.970802919708029,137,0.0468085106382979,0.225806451612903,0.740740740740741,137,-276.798285787682,3
664cf905de6ca38cfad9e5d4,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_664cf905de6ca38cfad9e5d4_T2_2024-07-19_13h21.12.589.csv,0.875047689760479,0.8,2.39281247365648,1,1,0,1.36421463700859,2,8.06516866972019,4,4,0.0585939859644752,0.5,0.582116830709571,0.5,0.165610479189616,0.5,0.346171064809508,0.2,0.46359810861407,0.2,1,0.822664586978475,0.982825436112101,0.883333333333333,1,181,0,0.355371900826446,0.765957446808511,181,-151.34882775017,3
664d0be31a585c224f0aa15d,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_664d0be31a585c224f0aa15d_T2_2024-07-26_17h04.40.494.csv,0.518584648566746,0.8,0.176173036295276,1,1,0,0.578062585467563,2,30.6818340314985,4,4,0.416881149136291,0.5,0.549327082613943,0.5,0.476900292499283,0.5,0.0736097126488933,0.2,0.369236306840546,0.2,1,0.700041518234815,0.375862390348943,0.816666666666667,0.25,4,0.0533980582524272,0.444444444444444,1,4,-217.951256127814,3
664d11e6124e3ad6e6277871,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_664d11e6124e3ad6e6277871_T2_2024-06-18_11h06.54.644.csv,0.898459464643252,0.8,0.425891977051789,1,1,0,1.59421351843988,2,18.965823020878,4,4,0.307602749881991,0.5,0.49976355168621,0.5,0.40397727141983,0.5,0.353853878461637,0.2,0.376046910812067,0.2,1,0.762515330084303,0.746254218834853,0.827777777777778,0.921052631578947,38,0.026431718061674,0.643939393939394,0.3,38,-182.775472079253,3
664dcd50e61b5246d5b7377b,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_664dcd50e61b5246d5b7377b_T2_2024-07-27_22h32.56.706.csv,0.817867531621724,0.8,1.57564256100008,1,1,0,1.49571849760657,2,2.83343961610674,4,4,0.222249033382603,0.5,0.594176591404218,0.5,0.170076028322328,0.5,0.49390933291607,0.2,0.107624161619358,0.2,1,0.518923707190693,0.84906621444391694,0.622222222222222,0.905027932960894,179,0.03125,0.118518518518519,0.372093023255814,179,-354.016219639567,3
6650915f8347f93a39a93f5c,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6650915f8347f93a39a93f5c_T2_2024-08-04_14h25.38.665.csv,0.778867594980285,0.8,1.07689015714491,1,1,0,0.67417297496262,2,9.76546820043987,4,4,0.0579002160197378,0.5,0.439566891522671,0.5,0.233235054048925,0.5,0.252620885799356,0.2,0.330284901780773,0.2,1,0.694772197393474,0.878770265853557,0.8,0.951612903225806,62,0.0833333333333333,0.587412587412587,0.333333333333333,62,-234.547246901559,3
6650b525c83a2e7b6048fcda,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6650b525c83a2e7b6048fcda_T1_2024-07-12_09h49.39.144.csv,0.593816642485405,0.8,0.235272528748863,1,1,0,1.03105171520118,2,18.6868954923281,4,4,0.303887597308085,0.5,0.756878933505156,0.5,0.417322939573657,0.5,0.0417133341291376,0.2,0.220285853372976,0.2,1,0.550519744474877,0.740043252146312,0.644444444444444,0.944444444444444,36,0.138755980861244,0.226666666666667,0.333333333333333,36,-308.686721850585,3
6650da43a82f01840447bcbe,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6650da43a82f01840447bcbe_T2_2024-06-17_18h29.45.467.csv,0.882383228076546,0.8,1.25756775238633,1,1,0,1.3757856143192,2,6.15438639031481,4,4,0.0543758321040558,0.5,0.332059457411098,0.5,0.108850999219812,0.5,0.339985418637128,0.2,0.357384820328674,0.2,1,0.517359010201853,0.830319665045327,0.613888888888889,0.87741935483871,155,0.0765765765765766,0.240875912408759,0.774193548387097,155,-365.970543355216,3
665288637afb1c6f9ef2d257,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_665288637afb1c6f9ef2d257_T2_2024-07-19_17h02.13.472.csv,0.882927770890854,0.8,1.98661445761926,1,1,0,0.912360346067701,2,5.71400807142186,4,4,0.0104879934384767,0.5,0.282569445800176,0.5,0.0730843649637432,0.5,0.039508965294819,0.2,0.593353062827296,0.2,1,0.60301267010622694,0.840768079423995,0.705555555555556,0.873417721518987,158,0.22972972972973,0.423357664233577,0.84375,158,-337.873896001715,3
6652b039261ef03ecb978b4b,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6652b039261ef03ecb978b4b_T2_2024-07-15_16h01.50.632.csv,0.85516071646065706,0.8,0.247493929963335,1,1,0,1.23808394536069,2,14.4902584443557,4,4,0.825448044071719,0.5,0.804176982075997,0.5,0.12349054569424,0.5,0.62795899003267,0.2,0.0707945204226249,0.2,1,0.594252679118032,0.784058418286505,0.7,0.924242424242424,132,0.0576923076923077,0.19205298013245,0.902439024390244,132,-332.117176088941,3
66548532974360d0c90b9dd5,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_66548532974360d0c90b9dd5_T2_2024-06-21_10h02.02.659.csv,0.797020487814242,0.8,2.9555088020073,1,1,0,1.14007340201269,2,4.90755035876508,4,4,0.0544763603456995,0.5,0.280910294774655,0.5,0.0662322324573456,0.5,0.374301073197037,0.2,0.664384235980551,0.2,1,0.707487624245521,0.917849406256296,0.791666666666667,0.936073059360731,219,0.0127118644067797,0.203252032520325,0.818181818181818,219,-253.905710440686,3
6654a18a5fde8d605b36daec,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6654a18a5fde8d605b36daec_T1_2024-07-12_14h47.31.226.csv,0.823831732990398,0.8,0.54942921821915,1,1,0,0.941510843919183,2,7.16416685136909,4,4,0.603587470245357,0.5,0.583187950732014,0.5,0.118646183421962,0.5,0.548916296932307,0.2,0.120846111045937,0.2,1,0.606170271150009,0.730819543675844,0.697222222222222,0.891089108910891,101,0.0508474576271186,0.154471544715447,0.863636363636364,101,-307.392415067851,3
66550501336446c73dbbb0cf,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_66550501336446c73dbbb0cf_T2_2024-06-27_15h53.05.719.csv,0.828903804549443,0.8,2.41382933308862,1,1,0,1.10023077737668,2,4.35111980139334,4,4,0.0662356813750559,0.5,0.38727034737771,0.5,0.074597960960488,0.5,0.478893086752196,0.2,0.348256192643288,0.2,1,0.716733481173509,0.911521813388395,0.802777777777778,0.929166666666667,240,0.0163934426229508,0.2,0.792452830188679,240,-247.550719864813,3
66552035a627a90b20d3a549,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_66552035a627a90b20d3a549_T2_2024-07-23_08h20.47.059.csv,0.845990720936341,0.8,1.39543583895585,1,1,0,1.0385811289103,2,7.61409526495338,4,4,0.021572633765776,0.5,0.35462714070061,0.5,0.0825748288527286,0.5,0.0866429661668339,0.2,0.587963929577015,0.2,1,0.587184563618484,0.879671824927146,0.697222222222222,0.891089108910891,101,0.106796116504854,0.372549019607843,0.736842105263158,101,-314.177946273345,3
6655df41311a20030c9d77de,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6655df41311a20030c9d77de_T1_2024-07-29_21h09.00.242.csv,0.856654198940344,0.8,1.46819750049633,1,1,0,1.22153588856797,2,6.05099565600714,4,4,0.0341533476351574,0.5,0.357650930324741,0.5,0.055320324511902,0.5,0.371915962053583,0.2,0.457367249863154,0.2,1,0.678366238016549,0.895169746489716,0.752777777777778,0.935483870967742,248,0.0788381742738589,0.135593220338983,0.859649122807018,248,-293.470745786504,3
66562a0038182ffa52b47afe,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_66562a0038182ffa52b47afe_T1_2024-07-18_22h59.23.539.csv,0.684604862063308,0.8,0.491267880255086,1,1,0,0.650213836970816,2,21.1068267996852,4,4,0.0239415923923266,0.5,0.61124900606538,0.5,0.381936385370416,0.5,0.0571519306634281,0.2,0.278654205713511,0.2,1,0.592067446413729,0.687752820225066,0.697222222222222,0.777777777777778,9,0.150602409638554,0.642487046632124,0.25,9,-268.110464148478,3
665643c27eafe088db748236,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_665643c27eafe088db748236_T1_2024-07-12_16h29.20.028.csv,0.872564781970318,0.8,2.03791835054949,1,1,0,0.905663247155868,2,3.94039582667497,4,4,0.185905151637552,0.5,0.573545843671624,0.5,0.135595414742293,0.5,0.642554277019956,0.2,0.139230340025348,0.2,1,0.657638387791323,0.940285677200637,0.744444444444444,0.966507177033493,209,0.0121457489878543,0.142857142857143,0.63265306122449,209,-256.078695226094,3
