id,has_practice_effects,file,posterior_p_a,prior_p_a,posterior_inv_temp,prior_inv_temp,fixed_state_exploration,fixed_parameter_exploration,posterior_Rsensitivity,prior_Rsensitivity,posterior_reward_value,prior_reward_value,fixed_l_loss_value,posterior_eta_d_win,prior_eta_d_win,posterior_eta_d_loss,prior_eta_d_loss,posterior_eta_a,prior_eta_a,posterior_omega_d,prior_omega_d,posterior_omega_a,prior_omega_a,fixed_lamgda,avg_act_prob_time1,avg_act_prob_time2,avg_model_acc_time1,avg_model_acc_time2,times_chosen_advisor,percent_win_choose_other,percent_lose_choose_same,percent_choose_advisor_after_bad_advice,time_advisor_chosen,F,modelAIorRL
53b98f20fdf99b472f4700e4,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_53b98f20fdf99b472f4700e4_T2_2024-06-20_12h12.34.621.csv,0.926150544078951,0.8,1.56950750280261,1,1,0,0.709091060883191,2,8.21522886640915,4,4,0.071082317144112,0.5,0.10423561171505,0.5,0.234615520365705,0.5,0.600471332308894,0.2,0.119654446119276,0.2,1,0.698412819871794,0.93994134296677,0.780555555555556,0.957894736842105,190,0.02,0.44954128440367,0.794871794871795,190,-243.856722613884,3
558fa9dffdf99b7ce2924662,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_558fa9dffdf99b7ce2924662_T1_2024-07-13_17h11.33.221.csv,0.737093903505204,0.8,0.442110811924715,1,1,0,0.859367652495943,2,11.0839907145247,4,4,0.554600501031944,0.5,0.254430960717931,0.5,0.559583537385977,0.5,0.102342430750608,0.2,0.110244440551291,0.2,1,0.73297631326257,0.692250693455366,0.825,0.88,25,0.0745614035087719,0.557251908396947,0.166666666666667,25,-201.807718147652,3
5590a34cfdf99b729d4f69dc,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_5590a34cfdf99b729d4f69dc_T1_2024-05-08_19h14.58.345.csv,0.81720271047441,0.8,0.17366371818776,1,1,0,0.640065768671784,2,24.4024861811299,4,4,0.724105470912667,0.5,0.567667254751167,0.5,0.507023453980859,0.5,0.110470870960292,0.2,0.293224605364288,0.2,1,0.6714382548438,0.645142606677285,0.744444444444444,0.9375,16,0.0509259259259259,0.377622377622378,0.25,16,-237.421704943879,3
5596a991fdf99b2d1e834690,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_5596a991fdf99b2d1e834690_T1_2024-05-18_18h56.17.515.csv,0.51995546775188894,0.8,0.450848717257217,1,1,0,0.791431031012751,2,26.2480053935516,4,4,0.165889779716862,0.5,0.615492477322488,0.5,0.529801414225189,0.5,0.497177538198945,0.2,0.520205455625473,0.2,1,0.674151733786249,0.742936768517414,0.75,0.82051282051282,39,0.0137614678899083,0.269503546099291,0.333333333333333,39,-247.276536322862,3
55bcd160fdf99b1c4e4ae632,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_55bcd160fdf99b1c4e4ae632_T1_2024-05-08_07h47.30.203.csv,0.949610245944286,0.8,0.502867703389574,1,1,0,0.928512369884816,2,27.1729803341422,4,4,0.0883037195033426,0.5,0.285285050031971,0.5,0.278420088068182,0.5,0.459287436931977,0.2,0.519643174792414,0.2,1,0.71121325817616,0.892449814248609,0.775,0.928571428571429,84,0.0131004366812227,0.507692307692308,0.826086956521739,84,-224.7726920832,3
55cc7cfb74297e0005235c27,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_55cc7cfb74297e0005235c27_T2_2024-06-11_09h39.26.712.csv,0.882060193241248,0.8,0.987145743185496,1,1,0,1.65937112435512,2,13.4271462156506,4,4,0.0453676202521577,0.5,0.229572300454999,0.5,0.225348755696241,0.5,0.332409412857507,0.2,0.15810082502927,0.2,1,0.645680941135225,0.906827592021261,0.758333333333333,0.937799043062201,209,0.0411522633744856,0.112068965517241,0.630434782608696,209,-281.129781995346,3
55eb04337480920010aa9e0d,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_55eb04337480920010aa9e0d_T2_2024-06-21_08h40.47.183.csv,0.932371477433037,0.8,0.823972032851772,1,1,0,0.703300402136266,2,12.6468102536265,4,4,0.0925391083208756,0.5,0.172737170938379,0.5,0.29078117774144,0.5,0.279246667606798,0.2,0.0893820651857496,0.2,1,0.672200020758997,0.913338650019971,0.783333333333333,0.950617283950617,81,0.0643776824034335,0.515873015873016,0.466666666666667,81,-242.947911582462,3
562c2ff0733ea000111630df,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_562c2ff0733ea000111630df_T1_2024-05-21_21h01.03.413.csv,0.956831717917037,0.8,0.970308223426349,1,1,0,1.37171708401709,2,17.9665671682739,4,4,0.0602887187106487,0.5,0.176873509875261,0.5,0.164386334639601,0.5,0.452170847826965,0.2,0.601505456811249,0.2,1,0.743997079530912,0.899124712097675,0.852777777777778,0.928571428571429,210,0.0254237288135593,0.32520325203252,0.875,210,-244.609816611793,3
562eb896733ea000051638c6,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_562eb896733ea000051638c6_T2_2024-06-12_20h24.55.599.csv,0.953319666442458,0.8,1.64731153626658,1,1,0,1.02471734252082,2,3.3263074772608,4,4,0.342533982860582,0.5,0.124607925752353,0.5,0.0784585866530456,0.5,0.215090088596918,0.2,0.101472623266461,0.2,1,0.680089842151325,0.940538900140634,0.775,1,74,0.0229357798165138,0.553191489361702,0.84,74,-237.237574873398,3
5658000ca9872d0011e1ba26,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_5658000ca9872d0011e1ba26_T2_2024-06-21_10h14.17.416.csv,0.915798006999791,0.8,0.525218938078808,1,1,0,2.09195520217061,2,21.6171484210425,4,4,0.0503885622637885,0.5,0.294836285615403,0.5,0.181323731628548,0.5,0.306166928074181,0.2,0.185269018209551,0.2,1,0.641571467976894,0.869038942515258,0.763888888888889,0.91358024691358,243,0.0348837209302326,0.118811881188119,0.816326530612245,243,-309.409967019254,3
