id,has_practice_effects,file,posterior_p_a,prior_p_a,posterior_inv_temp,prior_inv_temp,fixed_state_exploration,fixed_parameter_exploration,posterior_Rsensitivity,prior_Rsensitivity,posterior_reward_value,prior_reward_value,fixed_l_loss_value,posterior_eta_d_win,prior_eta_d_win,posterior_eta_d_loss,prior_eta_d_loss,posterior_eta_a_win,prior_eta_a_win,posterior_eta_a_loss,prior_eta_a_loss,posterior_omega_d,prior_omega_d,posterior_omega_a,prior_omega_a,fixed_lamgda,avg_act_prob_time1,avg_act_prob_time2,avg_model_acc_time1,avg_model_acc_time2,times_chosen_advisor,percent_win_choose_other,percent_lose_choose_same,percent_choose_advisor_after_bad_advice,time_advisor_chosen,F,modelAIorRL
5fab34d5e971f1617667232e,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_5fab34d5e971f1617667232e_T1_2024-05-07_12h15.26.641.csv,0.50673300476828,0.8,0.236943925222277,1,1,0,0.990064718983027,2,17.9037683080085,4,4,0.664991291374635,0.5,0.18587879321723,0.5,0.5,0.5,0.505415969514859,0.5,0.0207759239767636,0.2,0.274854897368741,0.2,1,0.693591153891325,0.500012071079672,0.788888888888889,1,1,0.140096618357488,0.342105263157895,0,1,-212.10317713616,3
5fadd628cd4e9e1c42dab969,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_5fadd628cd4e9e1c42dab969_T2_2024-06-08_16h51.19.024.csv,0.940143886050754,0.8,0.819218931476644,1,1,0,0.960336159733107,2,16.3234178531262,4,4,0.0713104202029278,0.5,0.353698015102618,0.5,0.302684274994116,0.5,0.194651041863545,0.5,0.430341629746785,0.2,0.562182377888972,0.2,1,0.696493514657893,0.937127962018017,0.780555555555556,0.974489795918367,196,0.0493827160493827,0.163793103448276,0.804347826086957,196,-245.426281995449,3
5fb7dd473afbb1033b491811,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_5fb7dd473afbb1033b491811_T2_2024-06-27_17h09.21.663.csv,0.695575003652855,0.8,1.36202165163598,1,1,0,1.11077686995207,2,0.774769827502259,4,4,0.611004215791964,0.5,0.181370091756711,0.5,0.201402455043328,0.5,0.258594568132857,0.5,0.580339359987119,0.2,0.0224090989265634,0.2,1,0.448190335998935,0.84295372698959,0.547222222222222,1,49,0.322916666666667,0.263473053892216,0,49,-372.290118048917,3
5fbd92e32c9c841bb352e09f,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_5fbd92e32c9c841bb352e09f_T2_2024-07-15_13h33.35.343.csv,0.918095950227151,0.8,1.24026476752549,1,1,0,1.30931438195161,2,8.6337019891897,4,4,0.0964895157712277,0.5,0.0787878241407412,0.5,0.513587758237496,0.5,0.121252618523175,0.5,0.375595181961572,0.2,0.627227521483308,0.2,1,0.785757389701243,0.883867299738787,0.883333333333333,0.902985074626866,134,0.0486725663716814,0.56390977443609,0.896551724137931,134,-209.006835177262,3
5fc2a5c0ddfca10169395662,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_5fc2a5c0ddfca10169395662_T1_2024-05-07_12h45.30.999.csv,0.637253166057512,0.8,6.42271627013325,1,1,0,1.26830410334696,2,1.0979914549046,4,4,0.0701047107769286,0.5,0.563527531045829,0.5,0.453918858568033,0.5,0.0341377801788752,0.5,0.0651670739734008,0.2,0.398457608310484,0.2,1,0.988399956468082,0.857688936335768,1,0.908333333333333,360,0,0,1,360,-133.415024460923,3
5fc58cd91b53521031a2d369,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_5fc58cd91b53521031a2d369_T2_2024-07-22_22h48.54.389.csv,0.856956203897081,0.8,0.777646842483035,1,1,0,0.53209710088828,2,10.5354396423373,4,4,0.0215750711453638,0.5,0.0597235488294305,0.5,0.586417089012921,0.5,0.083058600678871,0.5,0.0539405505753818,0.2,0.379425878584964,0.2,1,0.486180802492219,0.788385903405553,0.577777777777778,0.829787234042553,94,0.396984924623116,0.46875,0.571428571428571,94,-380.128059262019,3
5fd5381b5807b616d910c586,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_5fd5381b5807b616d910c586_T1_2024-05-18_12h18.49.907.csv,0.865138043136805,0.8,0.759620566202144,1,1,0,1.39527562768578,2,9.6544882429331,4,4,0.0600358945145276,0.5,0.145531790431676,0.5,0.477321338481188,0.5,0.234075356682682,0.5,0.42563295907497,0.2,0.506064694390585,0.2,1,0.44738956602144,0.825789360266675,0.525,0.954198473282443,131,0.175675675675676,0.240875912408759,0.484848484848485,131,-400.121640406356,3
5fd7782dee03dc08d3f3f491,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_5fd7782dee03dc08d3f3f491_T2_2024-06-18_04h30.44.822.csv,0.899987562285965,0.8,2.00108856882972,1,1,0,0.91171427937482,2,5.12519733489695,4,4,0.0706918859964483,0.5,0.0384270823404668,0.5,0.324422245241172,0.5,0.0892797141691068,0.5,0.632034853624671,0.2,0.59183214250674,0.2,1,0.661138776274397,0.881664301504561,0.761111111111111,0.923076923076923,182,0.119815668202765,0.359154929577465,0.95,182,-297.960133798014,3
5fe9ed6604a1df94eca17a24,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_5fe9ed6604a1df94eca17a24_T2_2024-06-10_11h20.51.570.csv,0.85915953078108,0.8,0.489622659082393,1,1,0,0.574165097021026,2,21.5963540190215,4,4,0.106555054634513,0.5,0.259108506083551,0.5,0.490977323282935,0.5,0.257681058074171,0.5,0.323557798509361,0.2,0.401814581632063,0.2,1,0.683090303386022,0.834298861641483,0.761111111111111,0.867768595041322,121,0.00462962962962963,0.426573426573427,0.578947368421053,121,-262.523350573472,3
5ffe235ea848b74a3b3ccd07,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_5ffe235ea848b74a3b3ccd07_T1_2024-05-07_12h35.37.992.csv,0.91715879099662,0.8,1.7563913380397,1,1,0,0.913606796560419,2,4.60016862444827,4,4,0.0721710743537505,0.5,0.105673754290545,0.5,0.501742942433654,0.5,0.115298753252714,0.5,0.500677422290474,0.2,0.465540663401704,0.2,1,0.606471065933785,0.911992736737524,0.702777777777778,0.982222222222222,225,0.084,0.146788990825688,0.68,225,-318.707721142656,3
60079f45348bb62bdcd363ff,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_60079f45348bb62bdcd363ff_T1_2024-05-18_11h39.19.706.csv,0.84625033701409,0.8,0.774644360210814,1,1,0,0.706647657198396,2,8.91599758268214,4,4,0.0310200569705185,0.5,0.451848197845265,0.5,0.298968019023892,0.5,0.0967310739212148,0.5,0.683650919119915,0.2,0.660393757026477,0.2,1,0.622161253963383,0.675498244899537,0.747222222222222,0.695652173913043,276,0.132701421800948,0.0810810810810811,0.863636363636364,276,-413.938762322789,3
60147514665c424b4b812e7d,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_60147514665c424b4b812e7d_T2_2024-06-11_00h42.57.862.csv,0.912732044371591,0.8,1.18294278290007,1,1,0,1.0700944923734,2,10.7868531312142,4,4,0.111058485022533,0.5,0.254393261307699,0.5,0.321296720108676,0.5,0.216884812251519,0.5,0.705083729936007,0.2,0.190586671744428,0.2,1,0.748238766393009,0.947786223266853,0.844444444444444,0.974137931034483,232,0.00390625,0.155339805825243,0.765957446808511,232,-215.637244249598,3
