id,has_practice_effects,file,posterior_p_a,prior_p_a,posterior_inv_temp,prior_inv_temp,fixed_state_exploration,fixed_parameter_exploration,posterior_Rsensitivity,prior_Rsensitivity,posterior_reward_value,prior_reward_value,fixed_l_loss_value,posterior_eta_d,prior_eta_d,posterior_eta_a_win,prior_eta_a_win,posterior_eta_a_loss,prior_eta_a_loss,posterior_omega,prior_omega,fixed_lamgda,avg_act_prob_time1,avg_act_prob_time2,avg_model_acc_time1,avg_model_acc_time2,times_chosen_advisor,percent_win_choose_other,percent_lose_choose_same,percent_choose_advisor_after_bad_advice,time_advisor_chosen,F,modelAIorRL
66439b89a9fca58cf2513d93,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_66439b89a9fca58cf2513d93_T2_2024-07-30_20h59.49.609.csv,0.580016963725967,0.8,0.747094205394405,1,1,0,5.1080900346488,2,12.070643214732,4,4,0.0524032760553133,0.5,0.391049700659758,0.5,0.0633215436089733,0.5,0.561532120534644,0.2,1,0.657519110311517,0.968161388965783,0.733333333333333,0.96875,160,0.118181818181818,0.381294964028777,0.951219512195122,160,-248.492014119498,3
66441863c6ae7938f0e91254,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_66441863c6ae7938f0e91254_T2_2024-06-12_13h34.40.322.csv,0.56608399914559,0.8,2.81249962592667,1,1,0,1.49577550130911,2,1.12522888838173,4,4,0.1202753794472,0.5,0.345073444912577,0.5,0.102979236359136,0.5,0.402769484065548,0.2,1,0.759112019700022,0.953303758448588,0.827777777777778,0.972549019607843,255,0.0118577075098814,0.283018867924528,0.865384615384615,255,-203.099813646769,3
6644527fc7cb167a601cd5ac,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6644527fc7cb167a601cd5ac_T2_2024-06-14_13h58.39.787.csv,0.569301289701027,0.8,2.79308870357095,1,1,0,1.18786862367408,2,1.30658867071338,4,4,0.102897768169104,0.5,0.561828437745911,0.5,0.0970487989023598,0.5,0.669360563570746,0.2,1,0.815716113288322,0.959882384759428,0.863888888888889,0.975352112676056,284,0.00873362445414847,0.176923076923077,0.948717948717949,284,-176.355587806598,3
6645517618b9f4db00e5ccc3,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6645517618b9f4db00e5ccc3_T2_2024-06-10_12h19.12.125.csv,0.568715072147522,0.8,2.59264860990589,1,1,0,1.07483523325538,2,0.749287866640527,4,4,0.164709903929971,0.5,0.387961533075583,0.5,0.159805723463258,0.5,0.472717257386066,0.2,1,0.641691485066178,0.884335836262861,0.752777777777778,0.926829268292683,205,0.0454545454545455,0.256410256410256,0.871794871794872,205,-288.96981214316,3
664639dd4711fff56d77ada4,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_664639dd4711fff56d77ada4_T1_2024-05-18_12h07.48.791.csv,0.582571806561534,0.8,2.6032420648892,1,1,0,0.974389869099977,2,2.27622933322438,4,4,0.125557630588792,0.5,0.481398177624703,0.5,0.0624285685757155,0.5,0.585998903133497,0.2,1,0.702094203070008,0.903456246367441,0.783333333333333,0.929078014184397,141,0.00427350427350427,0.568,0.970588235294118,141,-243.414938505676,3
66463a2c0a36377060b1910c,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_66463a2c0a36377060b1910c_T1_2024-05-18_12h10.14.474.csv,0.610679021409646,0.8,1.59835204665429,1,1,0,0.833745832884155,2,3.49355890222544,4,4,0.0606591830765454,0.5,0.355346031850665,0.5,0.132170903029733,0.5,0.365152424651064,0.2,1,0.419666939061931,0.890801436829,0.513888888888889,0.944954128440367,109,0.232456140350877,0.435114503816794,0.583333333333333,109,-395.961647726248,3
664653e2c2e145ef7ecedd0d,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_664653e2c2e145ef7ecedd0d_T2_2024-07-19_20h35.38.200.csv,0.739695915529591,0.8,0.83149490363867,1,1,0,1.2766048179862,2,4.02627756023592,4,4,0.266591857227648,0.5,0.546884119914464,0.5,0.459452043708957,0.5,0.356184704013288,0.2,1,0.478265570825452,0.883272955558997,0.594444444444444,0.945454545454545,110,0.116822429906542,0.213793103448276,0.176470588235294,110,-353.086361495082,3
6646592895602daa1e66b648,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6646592895602daa1e66b648_T1_2024-05-18_12h26.32.813.csv,0.546683013950464,0.8,2.11588990310944,1,1,0,1.03748288191142,2,1.50559849129776,4,4,0.0616691686648428,0.5,0.512889428544852,0.5,0.0780805907490007,0.5,0.419389281476423,0.2,1,0.672511911467686,0.869634100016782,0.761111111111111,0.903361344537815,238,0.0982905982905983,0.272,0.905660377358491,238,-293.639017400026,3
6647e0c35e49c207ba28fdb9,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6647e0c35e49c207ba28fdb9_T2_2024-07-29_19h26.28.046.csv,0.538546019254353,0.8,1.85867361729317,1,1,0,1.47187264088122,2,4.82032831904306,4,4,0.055270101253877,0.5,0.600967569484395,0.5,0.0632191091355068,0.5,0.244548114572174,0.2,1,0.690328499932165,0.893064636328232,0.783333333333333,0.931506849315068,73,0.0995024875621891,0.531645569620253,0.761904761904762,73,-237.729608455817,3
6648becccd1bf5a6e253577b,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6648becccd1bf5a6e253577b_T2_2024-06-27_10h37.19.507.csv,0.597677200336978,0.8,5.55491755565043,1,1,0,0.740821446907425,2,1.00898489861266,4,4,0.0509494342842413,0.5,0.211029319045872,0.5,0.108543821333461,0.5,0.0999112729960597,0.2,1,0.770478194197007,0.969343717009245,0.847222222222222,0.978260869565217,230,0,0.347826086956522,0.810344827586207,230,-198.940904410762,3
