id,has_practice_effects,file,posterior_p_a,prior_p_a,posterior_inv_temp,prior_inv_temp,fixed_state_exploration,fixed_parameter_exploration,posterior_Rsensitivity,prior_Rsensitivity,posterior_reward_value,prior_reward_value,fixed_l_loss_value,posterior_eta_d_win,prior_eta_d_win,posterior_eta_d_loss,prior_eta_d_loss,posterior_eta_a,prior_eta_a,posterior_omega,prior_omega,fixed_lamgda,avg_act_prob_time1,avg_act_prob_time2,avg_model_acc_time1,avg_model_acc_time2,times_chosen_advisor,percent_win_choose_other,percent_lose_choose_same,percent_choose_advisor_after_bad_advice,time_advisor_chosen,F,modelAIorRL
606a3cf263a18869ac8ee0ed,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_606a3cf263a18869ac8ee0ed_T2_2024-06-26_16h05.29.781.csv,0.243434282506152,0.8,1.05379830795513,1,1,0,1.16291442278773,2,7.50356911345948,4,4,0.0448229877300589,0.5,0.10094700873249,0.5,0.5,0.5,0.585659590038832,0.2,1,0.537399399705879,NA,0.616666666666667,NA,0,0.449197860962567,0.337209302325581,NA,0,-273.663145141235,3
60774dd4c93ddbfb673deee1,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_60774dd4c93ddbfb673deee1_T2_2024-07-16_13h59.35.745.csv,0.502692625129196,0.8,0.957978546287279,1,1,0,1.43607619812411,2,5.25782260296828,4,4,0.438312916454417,0.5,0.104156698182212,0.5,0.364147189422239,0.5,0.56009620371204,0.2,1,0.7956113686905,0.62455175122288,0.852777777777778,0.727272727272727,11,0.0142857142857143,0.758389261744966,1,11,-157.316114460432,3
607778a26ff3de83125f50c5,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_607778a26ff3de83125f50c5_T1_2024-05-07_22h11.51.376.csv,0.574968381604076,0.8,2.29526910877983,1,1,0,1.43778786418174,2,0.492935119824732,4,4,0.175637151580538,0.5,0.240510023562028,0.5,0.17498279313874401,0.5,0.426445791174251,0.2,1,0.595844103042773,0.845341310572506,0.730555555555556,0.900621118012422,161,0.0281124497991968,0.2,0.766666666666667,161,-318.354356598915,3
607cbf385d3202721e3f719f,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_607cbf385d3202721e3f719f_T2_2024-06-17_12h18.04.048.csv,0.565853354314151,0.8,1.26606503307319,1,1,0,2.3077486136437,2,6.1710732171224,4,4,0.129396179364562,0.5,0.0966507207035664,0.5,0.287095137557258,0.5,0.44218969624273,0.2,1,0.664712759245311,0.919977219911906,0.777777777777778,1,41,0.100961538461538,0.43046357615894,0.285714285714286,41,-245.290677076707,3
607eafaf008af56a5a3ba462,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_607eafaf008af56a5a3ba462_T1_2024-05-19_04h27.38.806.csv,0.48886683504832,0.8,0.955461077105153,1,1,0,1.88042903180343,2,11.3079229630978,4,4,0.152596141191629,0.5,0.348891775731773,0.5,0.728218590081178,0.5,0.534733009476151,0.2,1,0.743240971510832,0.755250900673427,0.861111111111111,0.619047619047619,21,0.0606060606060606,0.173913043478261,0.2,21,-197.733076418912,3
6091e1be3df7254e526f7168,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6091e1be3df7254e526f7168_T1_2024-05-18_14h25.21.349.csv,0.685980283635653,0.8,1.45106203247821,1,1,0,1.37433954403262,2,0.413391310625639,4,4,0.0767781766488144,0.5,0.0434933618171695,0.5,0.137584937229599,0.5,0.0442822191497163,0.2,1,0.454641636925044,0.865097019712083,0.630555555555556,0.903061224489796,196,0.136363636363636,0.381294964028777,0.818181818181818,196,-416.86579871708,3
60a7eb63dab0406a75e79293,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_60a7eb63dab0406a75e79293_T2_2024-06-25_02h23.12.374.csv,0.63088008960893,0.8,0.92166334829101,1,1,0,1.30544497550227,2,9.06396821529208,4,4,0.558363942470789,0.5,0.0215892271386336,0.5,0.15459676020525,0.5,0.43463627318565,0.2,1,0.919042599789643,0.808551822400983,0.925,1,5,0,0.983050847457627,0.75,5,-82.5118452396863,3
60b49cb1dc5470789edd23fe,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_60b49cb1dc5470789edd23fe_T1_2024-05-07_11h21.21.601.csv,0.309531883594685,0.8,0.78257214358959,1,1,0,0.799169238052961,2,10.9983797078953,4,4,0.0428516519166922,0.5,0.306637395962581,0.5,0.597432773911818,0.5,0.740201537267445,0.2,1,0.602009007757778,0.172676466433374,0.686111111111111,0,3,0.518324607329843,0.119047619047619,0.5,3,-260.405937840526,3
60be3a1699ecb058103a2292,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_60be3a1699ecb058103a2292_T1_2024-04-12_11h35.00.614.csv,0.783427456569102,0.8,0.504722576481127,1,1,0,1.39584493188302,2,1.76299368147007,4,4,0.627635964084753,0.5,0.0508819086352226,0.5,0.179346508105227,0.5,0.284100372147917,0.2,1,0.398127431214305,0.745504026686641,0.502777777777778,0.868686868686869,99,0.168949771689498,0.535714285714286,0.769230769230769,99,-423.131652544627,3
60c6e4b6069d11620f91f6b7,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_60c6e4b6069d11620f91f6b7_T2_2024-07-14_12h35.33.132.csv,0.483404975914939,0.8,1.15449744177831,1,1,0,1.19351081424754,2,7.33330132135142,4,4,0.31527995997681,0.5,0.316842049067778,0.5,0.526258087668203,0.5,0.479693357429067,0.2,1,0.7566865246362,0.655663862863786,0.85,0.466666666666667,15,0.042654028436019,0.297297297297297,0.25,15,-178.82378235161,3
