id,has_practice_effects,file,posterior_p_a,prior_p_a,posterior_inv_temp,prior_inv_temp,fixed_state_exploration,fixed_parameter_exploration,posterior_Rsensitivity,prior_Rsensitivity,posterior_reward_value,prior_reward_value,fixed_l_loss_value,posterior_eta_d,prior_eta_d,posterior_eta_a,prior_eta_a,posterior_omega_d,prior_omega_d,posterior_omega_a,prior_omega_a,fixed_lamgda,avg_act_prob_time1,avg_act_prob_time2,avg_model_acc_time1,avg_model_acc_time2,times_chosen_advisor,percent_win_choose_other,percent_lose_choose_same,percent_choose_advisor_after_bad_advice,time_advisor_chosen,F,modelAIorRL
6556a01177d7a552a0819714,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6556a01177d7a552a0819714_T2_2024-07-01_20h21.53.243.csv,0.626875464828637,0.8,0.623000936200761,1,1,0,1.32496696252959,2,8.59891767626645,4,4,0.201112127137937,0.5,0.321983681438303,0.5,0.417878571684147,0.2,0.211409911675061,0.2,1,0.498376660244695,0.779417798896793,0.644444444444444,0.896551724137931,58,0.138613861386139,0.369426751592357,0.307692307692308,58,-345.901220024887,3
6557311b0fd795ca70b212cc,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6557311b0fd795ca70b212cc_T1_2024-05-18_12h25.46.640.csv,0.593071534053149,0.8,0.855671463719489,1,1,0,1.43218635539656,2,12.8472608838473,4,4,0.111267257708013,0.5,0.249328482615016,0.5,0.470677087569969,0.2,0.215416045955197,0.2,1,0.628593868659523,0.795687009250002,0.716666666666667,0.85,20,0.139784946236559,0.445086705202312,0.375,20,-251.769682690284,3
6557ebf8541bd32382739c1a,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6557ebf8541bd32382739c1a_T1_2024-07-20_17h38.55.264.csv,0.586376376331228,0.8,1.84012680877501,1,1,0,1.21722355785993,2,1.69918242841033,4,4,0.113829546073004,0.5,0.146286241916033,0.5,0.489735106778104,0.2,0.205175429105759,0.2,1,0.45976240394235,0.821812861185598,0.588888888888889,0.9,110,0.0596330275229358,0.468085106382979,0.68,110,-385.012304834561,3
655a655f62fde845d4789149,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_655a655f62fde845d4789149_T2_2024-06-12_13h43.20.295.csv,0.576868228347664,0.8,2.28252465095135,1,1,0,1.42589252930008,2,1.58523158625273,4,4,0.0805957048702133,0.5,0.142999150840038,0.5,0.547755955875248,0.2,0.121393577892209,0.2,1,0.450075133865012,0.891767799304245,0.555555555555556,0.959731543624161,149,0.174358974358974,0.0914634146341463,0.473684210526316,149,-388.680520879271,3
655be887bea58a8fa4cc9a48,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_655be887bea58a8fa4cc9a48_T1_2024-07-16_04h54.58.139.csv,0.644028624224691,0.8,1.79493941186588,1,1,0,1.28653870022448,2,0.697682193998557,4,4,0.270116391951335,0.5,0.198012189565523,0.5,0.532110471662574,0.2,0.0899422683791803,0.2,1,0.520685855475714,0.9025548525903,0.608333333333333,0.952941176470588,170,0.0680851063829787,0.112903225806452,0.864864864864865,170,-337.437740791543,3
655f8edb8b128e01321fbf88,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_655f8edb8b128e01321fbf88_T2_2024-06-27_10h37.34.906.csv,0.568122951835188,0.8,0.910791362460769,1,1,0,1.02643648746933,2,4.88148282035984,4,4,0.549262811652768,0.5,0.507243307359226,0.5,0.625064928984386,0.2,0.292982883515734,0.2,1,0.666146531713495,0.758814905718956,0.780555555555556,0.941176470588235,51,0.05,0.079136690647482,0.307692307692308,51,-247.492725970683,3
655fc6a4919a4ddb98818d10,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_655fc6a4919a4ddb98818d10_T1_2024-07-28_22h02.20.061.csv,0.713013565221574,0.8,2.42555545727796,1,1,0,0.826369354983775,2,16.2998990874154,4,4,0.0292415133188279,0.5,0.323936035556802,0.5,0.0441817656476791,0.2,0.228453101231152,0.2,1,0.800617133833939,0.999995239501882,0.85,1,3,0.0321100917431193,0.872340425531915,0,3,-143.730471716918,3
65627c72163e4c5a24c985fc,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_65627c72163e4c5a24c985fc_T1_2024-05-07_09h24.27.777.csv,0.521626669745016,0.8,7.28909773937224,1,1,0,1.28476338793539,2,1.88834659580829,4,4,0.0269267987097066,0.5,0.12301810418386,0.5,0.203198908147784,0.2,0.226843631278989,0.2,1,0.744778531080997,0.981140281243787,0.825,1,33,0.0754716981132075,0.619047619047619,0.777777777777778,33,-192.450534034258,3
65634fb1ae9f62c99fa4ea1b,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_65634fb1ae9f62c99fa4ea1b_T1_2024-07-17_17h56.27.365.csv,0.566828890838449,0.8,3.02015384707249,1,1,0,2.18080922659324,2,0.798439371189217,4,4,0.0314909632467663,0.5,0.0350390217593662,0.5,0.294164781487567,0.2,0.454034006743544,0.2,1,0.508116081653877,0.905888026491678,0.583333333333333,0.948979591836735,196,0.055045871559633,0.361702127659574,0.888888888888889,196,-376.265924320151,3
6565f2f48b9c168ae6c249bc,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6565f2f48b9c168ae6c249bc_T1_2024-07-19_17h28.34.741.csv,0.678940223248083,0.8,0.658196195225931,1,1,0,2.04372923834519,2,11.1307021046402,4,4,0.0398593063217784,0.5,0.167458564124545,0.5,0.253184260356381,0.2,0.220749450760744,0.2,1,0.377022959207882,0.921927465283545,0.477777777777778,0.976190476190476,84,0.281914893617021,0.315789473684211,0.2,84,-408.470584135079,3
65674d4267c6b5f436246057,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_65674d4267c6b5f436246057_T1_2024-07-15_21h09.02.803.csv,0.566477377111584,0.8,2.26771964378137,1,1,0,1.25722750356208,2,0.357624807246928,4,4,0.219556059489186,0.5,0.166317204602021,0.5,0.50390941806188,0.2,0.197108835745443,0.2,1,0.55844523667855,0.780959979203041,0.641666666666667,0.845679012345679,162,0.00423728813559322,0.260162601626016,0.8,162,-349.947027316128,3
656cbe939b8a5cc866d7ccd2,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_656cbe939b8a5cc866d7ccd2_T1_2024-07-12_21h26.28.693.csv,0.641078531431782,0.8,2.16226155956066,1,1,0,1.45373215219845,2,1.39332290570122,4,4,0.124211805910205,0.5,0.123378150021109,0.5,0.35199351614124,0.2,0.051551452689776,0.2,1,0.574766705558272,0.908647668750325,0.705555555555556,0.936,125,0.0123456790123457,0.448275862068966,0.6,125,-308.510824461867,3
656e57a72605815bfb770fd7,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_656e57a72605815bfb770fd7_T2_2024-07-15_09h04.24.610.csv,0.596649340840002,0.8,2.37053364965154,1,1,0,1.67695255958676,2,1.36986445336123,4,4,0.128693156233995,0.5,0.0956204628238584,0.5,0.542911734682853,0.2,0.0974737799656073,0.2,1,0.50967940232188,0.938312560720045,0.591666666666667,0.987577639751553,161,0.0739130434782609,0.0930232558139535,0.763157894736842,161,-340.239364132434,3
656e8efb6e6610ae2d831f07,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_656e8efb6e6610ae2d831f07_T1_2024-04-19_16h05.24.303.csv,0.551988560468746,0.8,0.274616295679385,1,1,0,1.93634534062614,2,18.9597419096395,4,4,0.549723031545453,0.5,0.452247011934974,0.5,0.455517074794229,0.2,0.0575959542320263,0.2,1,0.638928959298829,0.652140694620209,0.761111111111111,0.9,30,0.0510204081632653,0.331288343558282,0.2,30,-268.172063489583,3
65761328646d5bb2adf235d4,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_65761328646d5bb2adf235d4_T1_2024-05-19_17h56.37.728.csv,0.584669986025979,0.8,0.923801698134963,1,1,0,2.18713344604299,2,10.4217829759393,4,4,0.0761565566982661,0.5,0.401781074750388,0.5,0.586434699857244,0.2,0.224411235978756,0.2,1,0.512649598136726,0.902797741749968,0.683333333333333,0.954545454545455,44,0.219512195121951,0.12987012987013,0.111111111111111,44,-324.35030121571,3
657a5182376b4cbf1cc18bb0,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_657a5182376b4cbf1cc18bb0_T1_2024-07-25_13h41.30.707.csv,0.511624501965589,0.8,15.0610022322502,1,1,0,1.30812875652892,2,0.170088695505932,4,4,0.0292030398381252,0.5,0.0359367530727971,0.5,0.269052132030428,0.2,0.1875838335936,0.2,1,0.733223639437101,0.86840019632515,0.836111111111111,0.9125,160,0.00862068965517241,0.566929133858268,0.966666666666667,160,-254.204263470992,3
657a6ecc62c29be44b207d5d,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_657a6ecc62c29be44b207d5d_T2_2024-06-10_09h28.16.357.csv,0.597774671989528,0.8,3.06508474239035,1,1,0,1.29516675859183,2,1.33932056860296,4,4,0.0492402610296271,0.5,0.157432948622644,0.5,0.253314071629872,0.2,0.23750330311987,0.2,1,0.547462298098901,0.960675111108855,0.661111111111111,0.984042553191489,188,0.113924050632911,0.221311475409836,0.682926829268293,188,-320.25383130041,3
658050b8b9967cdee12d906d,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_658050b8b9967cdee12d906d_T1_2024-07-11_21h46.36.383.csv,0.567052940120274,0.8,2.79564757424375,1,1,0,1.63562808645291,2,2.18893527611504,4,4,0.0402250366528665,0.5,0.100099187534685,0.5,0.193294870555388,0.2,0.166443861069241,0.2,1,0.53819133133027,0.944689809213579,0.636111111111111,0.975806451612903,124,0.117391304347826,0.503875968992248,0.6,124,-330.000841305392,3
6584799f35ef411a8fb9fdb6,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6584799f35ef411a8fb9fdb6_T1_2024-05-07_10h49.42.563.csv,0.567986968357234,0.8,1.13726273533589,1,1,0,1.87343002763584,2,8.90933337429978,4,4,0.0821184511807142,0.5,0.436728449190473,0.5,0.550460846816295,0.2,0.153283350095692,0.2,1,0.59318452777009,0.894071644560206,0.725,0.96,25,0.185714285714286,0.261744966442953,0.25,25,-269.610747924278,3
658f8c50f489cc904ba56539,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_658f8c50f489cc904ba56539_T2_2024-06-18_20h16.45.061.csv,0.541039016829829,0.8,3.45591997145152,1,1,0,1.17947735357765,2,0.239123028230087,4,4,0.0620350007060977,0.5,0.121622184373096,0.5,0.244553760238619,0.2,0.249692301923849,0.2,1,0.567619816765791,0.815096138552469,0.641666666666667,0.884955752212389,226,0.0698689956331878,0.284615384615385,0.828571428571429,226,-367.497354643549,3
65941a31ef6259a83e91c5e6,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_65941a31ef6259a83e91c5e6_T1_2024-07-24_18h09.41.517.csv,0.603899013464619,0.8,2.72173724274088,1,1,0,0.857995766962841,2,1.27464320903966,4,4,0.123109789630071,0.5,0.214336360467448,0.5,0.292957487978193,0.2,0.114217176225967,0.2,1,0.531293654389881,0.923019122145958,0.641666666666667,0.972222222222222,144,0.0720338983050847,0.365853658536585,0.62962962962963,144,-327.048594636909,3
65959a63cb30f7348aba06f0,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_65959a63cb30f7348aba06f0_T2_2024-06-11_06h48.42.259.csv,0.566318243816592,0.8,2.73314749448999,1,1,0,1.15430203349545,2,2.69123464371261,4,4,0.0831009989948471,0.5,0.327768760659941,0.5,0.593051006583725,0.2,0.436621448275013,0.2,1,0.594225126483252,0.94254345618714,0.727777777777778,0.961165048543689,103,0.074235807860262,0.292307692307692,0.235294117647059,103,-291.802268788849,3
6595e3b4dc9090390e4edb5f,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6595e3b4dc9090390e4edb5f_T2_2024-06-11_10h14.52.448.csv,0.742820256479173,0.8,1.49301611636601,1,1,0,1.02513581331225,2,3.32308277540968,4,4,0.178763184451356,0.5,0.208636745873711,0.5,0.510527842099255,0.2,0.0479570819550832,0.2,1,0.550695470216916,0.949231582687009,0.641666666666667,0.974358974358974,117,0.0210084033613445,0.396694214876033,0.666666666666667,117,-306.174049539544,3
6596c3663bd4674351a26eb8,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6596c3663bd4674351a26eb8_T1_2024-05-07_12h45.01.703.csv,0.577744023575431,0.8,2.9988124587114,1,1,0,1.25588958213292,2,0.438358930345169,4,4,0.0534863170931122,0.5,0.139272302404814,0.5,0.420795521397866,0.2,0.0655394352166634,0.2,1,0.557889911671136,0.904247858327696,0.644444444444444,0.940366972477064,218,0.11063829787234,0.137096774193548,0.86046511627907,218,-342.903532662184,3
