id,has_practice_effects,file,posterior_p_a,prior_p_a,posterior_inv_temp,prior_inv_temp,fixed_state_exploration,fixed_parameter_exploration,posterior_Rsensitivity,prior_Rsensitivity,posterior_reward_value,prior_reward_value,fixed_l_loss_value,posterior_eta_d,prior_eta_d,posterior_eta_a_win,prior_eta_a_win,posterior_eta_a_loss,prior_eta_a_loss,posterior_omega_d,prior_omega_d,posterior_omega_a_posi,prior_omega_a_posi,posterior_omega_a_nega,prior_omega_a_nega,fixed_lamgda,avg_act_prob_time1,avg_act_prob_time2,avg_model_acc_time1,avg_model_acc_time2,times_chosen_advisor,percent_win_choose_other,percent_lose_choose_same,percent_choose_advisor_after_bad_advice,time_advisor_chosen,F,modelAIorRL
53b98f20fdf99b472f4700e4,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_53b98f20fdf99b472f4700e4_T2_2024-06-20_12h12.34.621.csv,0.620712853210265,0.8,3.28551222644202,1,1,0,1.53755987956845,2,1.37703276902265,4,4,0.0839003070942841,0.5,0.185727579898756,0.5,0.15179578052024,0.5,0.556517023853871,0.2,0.196171449238362,0.2,0.0334833074130146,0.2,1,0.685650914188288,0.964603493753274,0.769444444444444,0.968421052631579,190,0.02,0.44954128440367,0.794871794871795,190,-244.831919835969,3
558fa9dffdf99b7ce2924662,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_558fa9dffdf99b7ce2924662_T1_2024-07-13_17h11.33.221.csv,0.669439263252389,0.8,1.0094126281023,1,1,0,0.750094854476704,2,11.2790023231547,4,4,0.131156713822101,0.5,0.400726172723419,0.5,0.346540212034604,0.5,0.21687305093188,0.2,0.269761222823271,0.2,0.1600407375016,0.2,1,0.697957153958624,0.908425639436063,0.788888888888889,0.96,25,0.0745614035087719,0.557251908396947,0.166666666666667,25,-213.785437319354,3
5590a34cfdf99b729d4f69dc,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_5590a34cfdf99b729d4f69dc_T1_2024-05-08_19h14.58.345.csv,0.568564352285664,0.8,0.498972043005145,1,1,0,0.721568650134123,2,14.9984546401458,4,4,0.344519075390061,0.5,0.39162109253369,0.5,0.538401987906955,0.5,0.512690950815409,0.2,0.256508983224722,0.2,0.130774953835956,0.2,1,0.674606340927974,0.70595219393695,0.788888888888889,1,16,0.0509259259259259,0.377622377622378,0.25,16,-232.647376043009,3
5596a991fdf99b2d1e834690,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_5596a991fdf99b2d1e834690_T1_2024-05-18_18h56.17.515.csv,0.432669210661014,0.8,2.178703517979,1,1,0,0.741962761864001,2,1.80927502663772,4,4,0.322563383929144,0.5,0.73397524211816,0.5,0.227201493245666,0.5,0.603443632658946,0.2,0.293513313063418,0.2,0.31644794058001,0.2,1,0.710494119060387,0.705348243497684,0.819444444444444,0.692307692307692,39,0.0137614678899083,0.269503546099291,0.333333333333333,39,-224.882314934958,3
55bcd160fdf99b1c4e4ae632,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_55bcd160fdf99b1c4e4ae632_T1_2024-05-08_07h47.30.203.csv,0.5850101448489,0.8,2.27214985466032,1,1,0,1.17768449387023,2,3.65094137065855,4,4,0.107939625259107,0.5,0.450089990260352,0.5,0.0896873063382166,0.5,0.410795684292614,0.2,0.499172195798797,0.2,0.102204514480586,0.2,1,0.696929112831266,0.933813186238733,0.791666666666667,0.964285714285714,84,0.0131004366812227,0.507692307692308,0.826086956521739,84,-233.973618072531,3
55cc7cfb74297e0005235c27,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_55cc7cfb74297e0005235c27_T2_2024-06-11_09h39.26.712.csv,0.62904442827375,0.8,2.89880984975911,1,1,0,1.13806248288346,2,0.976398074374622,4,4,0.140713606318324,0.5,0.277418423119951,0.5,0.174360643258145,0.5,0.56453644122809,0.2,0.219829837060759,0.2,0.0829367097172609,0.2,1,0.648917147448392,0.965510139700116,0.761111111111111,0.985645933014354,209,0.0411522633744856,0.112068965517241,0.630434782608696,209,-266.133235291674,3
55eb04337480920010aa9e0d,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_55eb04337480920010aa9e0d_T2_2024-06-21_08h40.47.183.csv,0.623287837815527,0.8,2.74992351183514,1,1,0,1.48261329707521,2,3.10469715968104,4,4,0.0812077054004022,0.5,0.177133406697807,0.5,0.0930154076584009,0.5,0.220072848026775,0.2,0.133860254034999,0.2,0.0585296477069535,0.2,1,0.670126282874096,0.981225533150256,0.761111111111111,0.987654320987654,81,0.0643776824034335,0.515873015873016,0.466666666666667,81,-242.162517495501,3
562c2ff0733ea000111630df,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_562c2ff0733ea000111630df_T1_2024-05-21_21h01.03.413.csv,0.561931069646765,0.8,2.80594225843088,1,1,0,1.00575653699353,2,1.51262395032467,4,4,0.105460203666855,0.5,0.408183423614876,0.5,0.0936569604023699,0.5,0.435382750217318,0.2,0.629609143590511,0.2,0.244223052327663,0.2,1,0.703092382498189,0.912866425615366,0.808333333333333,0.942857142857143,210,0.0254237288135593,0.32520325203252,0.875,210,-264.282086563374,3
562eb896733ea000051638c6,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_562eb896733ea000051638c6_T2_2024-06-12_20h24.55.599.csv,0.652621244504938,0.8,1.71963959383429,1,1,0,0.902376532875713,2,6.30095560469374,4,4,0.133277030338243,0.5,0.668114749241706,0.5,0.0784617329107174,0.5,0.256151468732961,0.2,0.457631889104165,0.2,0.199716946836258,0.2,1,0.641165087073345,0.98653746350824,0.744444444444444,1,74,0.0229357798165138,0.553191489361702,0.84,74,-257.300464765819,3
5658000ca9872d0011e1ba26,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_5658000ca9872d0011e1ba26_T2_2024-06-21_10h14.17.416.csv,0.608332055309605,0.8,2.30684636585483,1,1,0,1.1360076422438,2,0.448804742483992,4,4,0.186281282067494,0.5,0.333392597252436,0.5,0.132895605895331,0.5,0.370175178652806,0.2,0.34591536123643,0.2,0.260070196281176,0.2,1,0.635244571854085,0.900992035531833,0.772222222222222,0.930041152263374,243,0.0348837209302326,0.118811881188119,0.816326530612245,243,-300.154184467498,3
