id,has_practice_effects,file,posterior_p_a,prior_p_a,posterior_inv_temp,prior_inv_temp,fixed_state_exploration,fixed_parameter_exploration,posterior_Rsensitivity,prior_Rsensitivity,posterior_reward_value,prior_reward_value,fixed_l_loss_value,posterior_eta_d,prior_eta_d,posterior_eta_a,prior_eta_a,posterior_omega_d,prior_omega_d,posterior_omega_a_posi,prior_omega_a_posi,posterior_omega_a_nega,prior_omega_a_nega,fixed_lamgda,avg_act_prob_time1,avg_act_prob_time2,avg_model_acc_time1,avg_model_acc_time2,times_chosen_advisor,percent_win_choose_other,percent_lose_choose_same,percent_choose_advisor_after_bad_advice,time_advisor_chosen,F,modelAIorRL
616dabffda7757926ea7e84d,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_616dabffda7757926ea7e84d_T1_2024-04-21_21h53.02.799.csv,0.609669845415962,0.8,1.92207378057526,1,1,0,1.09655964696873,2,3.03265408382929,4,4,0.0729043472221085,0.5,0.330462143676196,0.5,0.530914085346813,0.2,0.280580989508251,0.2,0.0593123582886271,0.2,1,0.51185074683735,0.939097131475772,0.647222222222222,0.974789915966387,119,0.0782608695652174,0.364341085271318,0.238095238095238,119,-337.736797230289,3
61bb392e40db417c1a138dcb,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_61bb392e40db417c1a138dcb_T2_2024-06-07_19h50.07.337.csv,0.513386296988778,0.8,5.25173822291054,1,1,0,0.601850768162412,2,0.356304626286088,4,4,0.111603757452034,0.5,0.18540309606474,0.5,0.543291805361166,0.2,0.158159878874117,0.2,0.172381538620789,0.2,1,0.675817482454218,0.882997113615548,0.791666666666667,0.904761904761905,147,0.00796812749003984,0.231481481481481,0.761904761904762,147,-262.035873972399,3
627d1b0ff09ff00d79eb9d35,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_627d1b0ff09ff00d79eb9d35_T1_2024-07-12_22h02.44.840.csv,0.242177456602438,0.8,0.502471069770295,1,1,0,0.816163922710439,2,9.80683124378977,4,4,0.101397126150428,0.5,0.364588004167109,0.5,0.267900328026011,0.2,0.159484118656801,0.2,0.170986954551286,0.2,1,0.524788827468421,0.457917727184651,0.616666666666667,0.428571428571429,7,0.12972972972973,0.557471264367816,1,7,-297.738407408936,3
6287f4819c5fc8c4d48cc885,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6287f4819c5fc8c4d48cc885_T1_2024-05-07_22h20.25.258.csv,0.56895242911414,0.8,1.46377647250595,1,1,0,2.02786489020674,2,3.1123512220103,4,4,0.0506283485055877,0.5,0.247909354824511,0.5,0.347638590334011,0.2,0.268616796997039,0.2,0.0950909789023751,0.2,1,0.488815174908989,0.862840433338755,0.594444444444444,0.93,100,0.151219512195122,0.525974025974026,0.608695652173913,100,-358.923491054003,3
628f827eeb876ed2617881e7,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_628f827eeb876ed2617881e7_T2_2024-06-10_11h19.47.688.csv,0.500885432452069,0.8,2.85237248009251,1,1,0,1.02094330707387,2,0.2725579617079,4,4,0.109024612524074,0.5,0.149625378451082,0.5,0.663655466297749,0.2,0.450305605319263,0.2,0.237653184833085,0.2,1,0.548447153485935,0.692944363801393,0.672222222222222,0.77124183006536,153,0.0180995475113122,0.217391304347826,0.8,153,-386.466862487844,3
62926f5a375553f13d68bc92,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_62926f5a375553f13d68bc92_T2_2024-06-21_09h55.23.894.csv,0.841859220187988,0.8,0.255751531784998,1,1,0,1.42110370519023,2,3.55716906875837,4,4,0.670187602135233,0.5,0.472979554364304,0.5,0.547885334616171,0.2,0.145672885651728,0.2,0.118710743002811,0.2,1,0.363708795618828,0.694312363410242,0.436111111111111,0.871559633027523,109,0.224770642201835,0.25531914893617,0.272727272727273,109,-443.446065189342,3
62a0f7db18a72f2654996af3,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_62a0f7db18a72f2654996af3_T1_2024-05-20_18h11.33.971.csv,0.5987738356738,0.8,3.66149985172398,1,1,0,1.80997349619684,2,0.399976976292482,4,4,0.0596390213783146,0.5,0.115057208957083,0.5,0.219369480842128,0.2,0.507419596810181,0.2,0.0212229746373448,0.2,1,0.701245869810042,0.943408727318576,0.8,0.955284552845528,246,0.0450819672131148,0.347826086956522,0.892857142857143,246,-254.323043639518,3
62b077136224952ffd679d48,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_62b077136224952ffd679d48_T1_2024-04-19_16h05.05.319.csv,0.144089866504702,0.8,0.483561299402891,1,1,0,0.636691092327556,2,6.47810909384287,4,4,0.586699879292643,0.5,0.464348137221926,0.5,0.559796999205462,0.2,0.231056983624378,0.2,0.197112094183458,0.2,1,0.631396149037222,0.120095153319767,0.786111111111111,0,2,0.177033492822967,0.28,0,2,-252.105561003042,3
62b0ff84054c6ca32f481c65,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_62b0ff84054c6ca32f481c65_T2_2024-06-20_12h15.57.208.csv,0.511456385833849,0.8,1.41685323878562,1,1,0,0.863002992975288,2,1.99856705582341,4,4,0.365762175457227,0.5,0.498529308243449,0.5,0.110981411353909,0.2,0.195740470718511,0.2,0.0982312270838597,0.2,1,0.621201533857249,0.781701423393948,0.691666666666667,0.927536231884058,69,0.0271493212669683,0.384057971014493,0.166666666666667,69,-274.215084979941,3
62b2c25fa2e87e7ed2da2b87,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_62b2c25fa2e87e7ed2da2b87_T1_2024-04-19_16h05.52.792.csv,0.610346275039672,0.8,2.85389194643632,1,1,0,0.934851208601056,2,0.288211968037255,4,4,0.0775878794326131,0.5,0.102920353808057,0.5,0.343050376708286,0.2,0.269773561987068,0.2,0.0385946488221969,0.2,1,0.508493531039302,0.883877087564516,0.622222222222222,0.914285714285714,210,0.0779220779220779,0.1953125,0.730769230769231,210,-381.21310737947,3
