id,has_practice_effects,file,posterior_p_a,prior_p_a,posterior_inv_temp,prior_inv_temp,fixed_state_exploration,fixed_parameter_exploration,posterior_Rsensitivity,prior_Rsensitivity,posterior_reward_value,prior_reward_value,fixed_l_loss_value,posterior_eta_d,prior_eta_d,posterior_eta_a_win,prior_eta_a_win,posterior_eta_a_loss,prior_eta_a_loss,posterior_omega,prior_omega,fixed_lamgda,avg_act_prob_time1,avg_act_prob_time2,avg_model_acc_time1,avg_model_acc_time2,times_chosen_advisor,percent_win_choose_other,percent_lose_choose_same,percent_choose_advisor_after_bad_advice,time_advisor_chosen,F,modelAIorRL
53b98f20fdf99b472f4700e4,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_53b98f20fdf99b472f4700e4_T2_2024-06-20_12h12.34.621.csv,0.911238077333624,0.8,1.78550258147925,1,1,0,0.938538590364546,2,5.89711333721066,4,4,0.0637683454139254,0.5,0.453031383457063,0.5,0.146421475041792,0.5,0.495918329434316,0.2,1,0.71430621559229,0.920321518400894,0.8,0.973684210526316,190,0.02,0.44954128440367,0.794871794871795,190,-236.570522046981,3
558fa9dffdf99b7ce2924662,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_558fa9dffdf99b7ce2924662_T1_2024-07-13_17h11.33.221.csv,0.726302300994529,0.8,0.324114243492124,1,1,0,0.87540071095957706,2,19.4525962987436,4,4,0.320452336760783,0.5,0.427575060862378,0.5,0.508971422037099,0.5,0.166895780985975,0.2,1,0.725684687342811,0.662779433114939,0.816666666666667,0.88,25,0.0745614035087719,0.557251908396947,0.166666666666667,25,-206.108316899748,3
5590a34cfdf99b729d4f69dc,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_5590a34cfdf99b729d4f69dc_T1_2024-05-08_19h14.58.345.csv,0.800784888010414,0.8,0.182124725395618,1,1,0,0.668736904503734,2,24.3290897901448,4,4,0.686884029766007,0.5,0.36983230584985,0.5,0.603136535250349,0.5,0.278001307917622,0.2,1,0.667029538794363,0.64662272821474,0.716666666666667,0.9375,16,0.0509259259259259,0.377622377622378,0.25,16,-238.23323383251,3
5596a991fdf99b2d1e834690,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_5596a991fdf99b2d1e834690_T1_2024-05-18_18h56.17.515.csv,0.422529496044112,0.8,1.46457914638348,1,1,0,0.878620815334482,2,4.62477658922721,4,4,0.266178614214477,0.5,0.746354650175193,0.5,0.208869963917553,0.5,0.576373844421904,0.2,1,0.654017586749527,0.72969341332989,0.744444444444444,0.743589743589744,39,0.0137614678899083,0.269503546099291,0.333333333333333,39,-253.375999442082,3
55bcd160fdf99b1c4e4ae632,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_55bcd160fdf99b1c4e4ae632_T1_2024-05-08_07h47.30.203.csv,0.894483792774727,0.8,1.0756852136157,1,1,0,1.18923420664824,2,8.70476513206205,4,4,0.125625304611393,0.5,0.553639877845932,0.5,0.140239562959402,0.5,0.611327950021062,0.2,1,0.720917338813993,0.888836325014968,0.8,0.916666666666667,84,0.0131004366812227,0.507692307692308,0.826086956521739,84,-213.676622502701,3
55cc7cfb74297e0005235c27,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_55cc7cfb74297e0005235c27_T2_2024-06-11_09h39.26.712.csv,0.74261138560218,0.8,2.64331305815315,1,1,0,1.18172243024888,2,4.20073884236066,4,4,0.0471052772554585,0.5,0.307281992826689,0.5,0.0835991242417523,0.5,0.25789505592212,0.2,1,0.63684982045381,0.905032985789104,0.747222222222222,0.942583732057416,209,0.0411522633744856,0.112068965517241,0.630434782608696,209,-291.599602655466,3
55eb04337480920010aa9e0d,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_55eb04337480920010aa9e0d_T2_2024-06-21_08h40.47.183.csv,0.898812620375191,0.8,0.930286846011347,1,1,0,1.134393652797,2,8.75050908350299,4,4,0.102705429020305,0.5,0.611390080552494,0.5,0.138082903127875,0.5,0.168518826852986,0.2,1,0.677643102364643,0.91846988041973,0.766666666666667,0.975308641975309,81,0.0643776824034335,0.515873015873016,0.466666666666667,81,-236.440029670824,3
562c2ff0733ea000111630df,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_562c2ff0733ea000111630df_T1_2024-05-21_21h01.03.413.csv,0.913532613004317,0.8,1.79477448804378,1,1,0,1.27681071580143,2,6.77511596175411,4,4,0.0872580312889993,0.5,0.401454191543992,0.5,0.103892790654072,0.5,0.647378279843994,0.2,1,0.769257134144542,0.906863850767194,0.869444444444444,0.938095238095238,210,0.0254237288135593,0.32520325203252,0.875,210,-219.52919056695,3
562eb896733ea000051638c6,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_562eb896733ea000051638c6_T2_2024-06-12_20h24.55.599.csv,0.939523474813528,0.8,1.01960054319059,1,1,0,0.942327167481414,2,8.08676207787637,4,4,0.223311471060592,0.5,0.475358443483463,0.5,0.125007864753006,0.5,0.332081811379834,0.2,1,0.688532264883926,0.883954498335303,0.783333333333333,0.959459459459459,74,0.0229357798165138,0.553191489361702,0.84,74,-233.40202740696,3
5658000ca9872d0011e1ba26,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_5658000ca9872d0011e1ba26_T2_2024-06-21_10h14.17.416.csv,0.74283178023705,0.8,2.19883541667924,1,1,0,1.31689834150568,2,3.95002828991618,4,4,0.0760146553989955,0.5,0.371981239416735,0.5,0.0576953732610405,0.5,0.334861502289524,0.2,1,0.636690241534661,0.855963116935362,0.747222222222222,0.901234567901235,243,0.0348837209302326,0.118811881188119,0.816326530612245,243,-315.137475668115,3
