id,has_practice_effects,file,posterior_p_a,prior_p_a,posterior_inv_temp,prior_inv_temp,fixed_state_exploration,fixed_parameter_exploration,posterior_Rsensitivity,prior_Rsensitivity,posterior_reward_value,prior_reward_value,fixed_l_loss_value,posterior_eta_d,prior_eta_d,posterior_eta_a,prior_eta_a,posterior_omega,prior_omega,fixed_lamgda,avg_act_prob_time1,avg_act_prob_time2,avg_model_acc_time1,avg_model_acc_time2,times_chosen_advisor,percent_win_choose_other,percent_lose_choose_same,percent_choose_advisor_after_bad_advice,time_advisor_chosen,F,modelAIorRL
53b98f20fdf99b472f4700e4,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_53b98f20fdf99b472f4700e4_T2_2024-06-20_12h12.34.621.csv,0.935168999455379,0.8,2.55568211323476,1,1,0,0.557817824461628,2,5.40720719906497,4,4,0.0374687507836278,0.5,0.180047205847727,0.5,0.479036515528992,0.2,1,0.698734156015981,0.894699758038779,0.802777777777778,0.947368421052632,190,0.02,0.44954128440367,0.794871794871795,190,-257.56313463629,3
558fa9dffdf99b7ce2924662,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_558fa9dffdf99b7ce2924662_T1_2024-07-13_17h11.33.221.csv,0.725080401261466,0.8,0.327018350067737,1,1,0,0.865154123270312,2,19.3223914844729,4,4,0.320725655825334,0.5,0.434025029040312,0.5,0.168041320504684,0.2,1,0.725560415295362,0.664559442422254,0.816666666666667,0.88,25,0.0745614035087719,0.557251908396947,0.166666666666667,25,-206.015698647069,3
5590a34cfdf99b729d4f69dc,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_5590a34cfdf99b729d4f69dc_T1_2024-05-08_19h14.58.345.csv,0.798621877619261,0.8,0.180816615965979,1,1,0,0.660223469265495,2,24.3380369742661,4,4,0.693526995928795,0.5,0.479831249398521,0.5,0.296234013265505,0.2,1,0.665606924470071,0.642054638719432,0.716666666666667,0.9375,16,0.0509259259259259,0.377622377622378,0.25,16,-238.736981247617,3
5596a991fdf99b2d1e834690,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_5596a991fdf99b2d1e834690_T1_2024-05-18_18h56.17.515.csv,0.481126555199912,0.8,0.549909268095623,1,1,0,0.694159390364439,2,8.24930584286457,4,4,0.492290572910049,0.5,0.676468626950223,0.5,0.551851494638216,0.2,1,0.631916480216655,0.677538848465508,0.705555555555556,0.692307692307692,39,0.0137614678899083,0.269503546099291,0.333333333333333,39,-263.734735215036,3
55bcd160fdf99b1c4e4ae632,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_55bcd160fdf99b1c4e4ae632_T1_2024-05-08_07h47.30.203.csv,0.93463550433241,0.8,0.824895123982099,1,1,0,1.35470292776355,2,12.0199330779872,4,4,0.0989985134202036,0.5,0.215830037565118,0.5,0.647739631876637,0.2,1,0.701016748282018,0.84399455188693,0.780555555555556,0.892857142857143,84,0.0131004366812227,0.507692307692308,0.826086956521739,84,-231.113635198348,3
55cc7cfb74297e0005235c27,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_55cc7cfb74297e0005235c27_T2_2024-06-11_09h39.26.712.csv,0.852410572908445,0.8,1.94995466739929,1,1,0,1.19693213876784,2,6.49724742837435,4,4,0.0142078945133436,0.5,0.0904459814414415,0.5,0.124727278251362,0.2,1,0.591971527666764,0.920995872784683,0.694444444444444,0.956937799043062,209,0.0411522633744856,0.112068965517241,0.630434782608696,209,-319.019920754951,3
55eb04337480920010aa9e0d,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_55eb04337480920010aa9e0d_T2_2024-06-21_08h40.47.183.csv,0.931373618237138,0.8,0.91640972001032,1,1,0,0.776443829734114,2,7.8591894837672,4,4,0.0940998718180869,0.5,0.154071120731416,0.5,0.141838457614605,0.2,1,0.655685482077412,0.856518778851668,0.763888888888889,0.950617283950617,81,0.0643776824034335,0.515873015873016,0.466666666666667,81,-258.419072056755,3
562c2ff0733ea000111630df,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_562c2ff0733ea000111630df_T1_2024-05-21_21h01.03.413.csv,0.945595370557455,0.8,1.4625558657708,1,1,0,1.15122970605048,2,9.78106038016366,4,4,0.0620028758088968,0.5,0.106785870174215,0.5,0.657466656993857,0.2,1,0.733916512228521,0.875782340675695,0.836111111111111,0.919047619047619,210,0.0254237288135593,0.32520325203252,0.875,210,-250.766225615388,3
562eb896733ea000051638c6,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_562eb896733ea000051638c6_T2_2024-06-12_20h24.55.599.csv,0.957142572390505,0.8,1.20319724514723,1,1,0,0.94401336757923,2,7.16569819136567,4,4,0.188721188833193,0.5,0.108870365423878,0.5,0.338019867568494,0.2,1,0.694266595609485,0.859863029456985,0.797222222222222,0.945945945945946,74,0.0229357798165138,0.553191489361702,0.84,74,-236.818777926786,3
5658000ca9872d0011e1ba26,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_5658000ca9872d0011e1ba26_T2_2024-06-21_10h14.17.416.csv,0.926466554771074,0.8,0.698742686161242,1,1,0,1.68432313105781,2,13.6243616849121,4,4,0.0193786673318878,0.5,0.194436870119605,0.5,0.43863033421232,0.2,1,0.60466615313038,0.818191896091671,0.722222222222222,0.88477366255144,243,0.0348837209302326,0.118811881188119,0.816326530612245,243,-355.97607519959,3
