id,has_practice_effects,file,posterior_p_a,prior_p_a,posterior_inv_temp,prior_inv_temp,fixed_state_exploration,fixed_parameter_exploration,posterior_Rsensitivity,prior_Rsensitivity,posterior_reward_value,prior_reward_value,fixed_l_loss_value,posterior_eta,prior_eta,posterior_omega,prior_omega,fixed_lamgda,avg_act_prob_time1,avg_act_prob_time2,avg_model_acc_time1,avg_model_acc_time2,times_chosen_advisor,percent_win_choose_other,percent_lose_choose_same,percent_choose_advisor_after_bad_advice,time_advisor_chosen,F,modelAIorRL
65bd4eb549b019b9990328dc,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_65bd4eb549b019b9990328dc_T1_2024-05-07_12h27.34.429.csv,0.432185531111185,0.8,0.225688245707088,1,1,0,0.817735059814542,2,16.4451788890885,4,4,0.345528796231065,0.5,0.10129161640111,0.2,1,0.562513138843129,0.587338805628132,0.697222222222222,0.6,20,0.177570093457944,0.262068965517241,0,20,-303.002781597596,3
65bf988fde82b668f87bc037,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_65bf988fde82b668f87bc037_T2_2024-07-14_22h13.16.623.csv,0.744378621192497,0.8,0.578510129724144,1,1,0,0.910048051577819,2,10.6769268868415,4,4,0.112114703685686,0.5,0.401664847569923,0.2,1,0.542550838863194,0.732643667875595,0.691666666666667,0.938775510204082,49,0.209090909090909,0.510791366906475,0.2,49,-320.27988689001,3
65c0f119fa8fd299fde6b9e2,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_65c0f119fa8fd299fde6b9e2_T2_2024-07-22_22h22.56.367.csv,0.19661187461687,0.8,0.501160072050983,1,1,0,1.23034846396692,2,12.0929774328773,4,4,0.285634484371309,0.5,0.0267680193501828,0.2,1,0.725619367217544,0.0343816503385965,0.808333333333333,0,1,0.0744186046511628,0.361111111111111,0,1,-193.915497351342,3
65c1126b379ff4faa4eba30c,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_65c1126b379ff4faa4eba30c_T2_2024-06-21_12h07.40.195.csv,0.918869506902845,0.8,2.13831253329844,1,1,0,0.617505913421274,2,5.33765390297086,4,4,0.0395003439521153,0.5,0.351308911469605,0.2,1,0.633563471742007,0.881094196432284,0.733333333333333,0.972972972972973,185,0.0241935483870968,0.306306306306306,0.767441860465116,185,-292.53528276897,3
65c1d15018dd984dec38f4c3,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_65c1d15018dd984dec38f4c3_T2_2024-06-10_12h29.37.161.csv,0.897532081197124,0.8,1.04209632774629,1,1,0,1.57395281776712,2,2.46748658126148,4,4,0.254628349839728,0.5,0.0368818048481621,0.2,1,0.539186609460082,0.893056113317551,0.677777777777778,0.956521739130435,138,0.038135593220339,0.203252032520325,0.405405405405405,138,-323.856384061183,3
65c243c37e0d77ca70ee030e,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_65c243c37e0d77ca70ee030e_T2_2024-06-10_23h02.20.164.csv,0.877231018263895,0.8,0.798110358812426,1,1,0,1.74498797390378,2,10.2615526885119,4,4,0.0721450158651275,0.5,0.634720644724247,0.2,1,0.517046746461841,0.735105347582661,0.633333333333333,0.906040268456376,149,0.128440366972477,0.347517730496454,0.733333333333333,149,-383.342365263077,3
65c25cf77dca9d7ca7d9ebdb,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_65c25cf77dca9d7ca7d9ebdb_T2_2024-06-22_09h05.01.040.csv,0.900849217912989,0.8,0.486203048812726,1,1,0,1.25540286827203,2,13.0288571324814,4,4,0.0972189021831707,0.5,0.140323769653506,0.2,1,0.556884526323369,0.861079794368873,0.708333333333333,0.985294117647059,68,0.203619909502262,0.565217391304348,0.571428571428571,68,-313.436261408306,3
65c25e3de8b230c294f2b32c,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_65c25e3de8b230c294f2b32c_T2_2024-06-20_22h28.51.176.csv,0.891068939663529,0.8,1.74649206668514,1,1,0,0.718474005831631,2,5.40089254072968,4,4,0.0684807364870552,0.5,0.704679710153788,0.2,1,0.549445838706659,0.756434466287558,0.652777777777778,0.856353591160221,181,0.0346320346320346,0.375,0.657894736842105,181,-371.297409454407,3
65c26e8407c01d7f38da9858,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_65c26e8407c01d7f38da9858_T2_2024-06-05_15h48.39.663.csv,0.642113419039338,0.8,0.337707810061383,1,1,0,0.644059035955383,2,12.6428570855274,4,4,0.105052733993587,0.5,0.0880392578240078,0.2,1,0.453347168647972,0.675812436473964,0.619444444444444,0.978260869565217,46,0.261780104712042,0.303571428571429,0.5,46,-371.217264906194,3
65c3a122f00056edea1e17d0,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_65c3a122f00056edea1e17d0_T2_2024-06-09_03h49.25.890.csv,0.897259785409982,0.8,0.358280149986168,1,1,0,1.87599973590597,2,6.87166824166071,4,4,0.207135556882654,0.5,0.1967364983736,0.2,1,0.409093599149334,0.689970208909327,0.508333333333333,0.872093023255814,86,0.291479820627803,0.330882352941176,0.411764705882353,86,-407.726506541928,3
