id,has_practice_effects,file,posterior_p_a,prior_p_a,posterior_inv_temp,prior_inv_temp,fixed_state_exploration,fixed_parameter_exploration,posterior_Rsensitivity,prior_Rsensitivity,posterior_reward_value,prior_reward_value,fixed_l_loss_value,posterior_eta_d_win,prior_eta_d_win,posterior_eta_d_loss,prior_eta_d_loss,posterior_eta_a_win,prior_eta_a_win,posterior_eta_a_loss,prior_eta_a_loss,posterior_omega_d,prior_omega_d,posterior_omega_a_posi,prior_omega_a_posi,posterior_omega_a_nega,prior_omega_a_nega,fixed_lamgda,avg_act_prob_time1,avg_act_prob_time2,avg_model_acc_time1,avg_model_acc_time2,times_chosen_advisor,percent_win_choose_other,percent_lose_choose_same,percent_choose_advisor_after_bad_advice,time_advisor_chosen,F,modelAIorRL
53b98f20fdf99b472f4700e4,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_53b98f20fdf99b472f4700e4_T2_2024-06-20_12h12.34.621.csv,0.84238774432765,0.8,2.79129668047156,1,1,0,0.89174252982423,2,4.57888532313356,4,4,0.0796248265300478,0.5,0.05534797278598,0.5,0.267467528462966,0.5,0.126737460813004,0.5,0.630357661102899,0.2,0.122330759922003,0.2,0.549756909921235,0.2,1,0.724512808774799,0.933927532588158,0.802777777777778,0.957894736842105,190,0.02,0.44954128440367,0.794871794871795,190,-237.890101853548,3
558fa9dffdf99b7ce2924662,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_558fa9dffdf99b7ce2924662_T1_2024-07-13_17h11.33.221.csv,0.734400910830123,0.8,0.442287255181344,1,1,0,0.847061460835901,2,11.0686224828952,4,4,0.55461035912796,0.5,0.257602549662842,0.5,0.596420390928396,0.5,0.471476659621254,0.5,0.104108572547925,0.2,0.129340468371405,0.2,0.145500717018632,0.2,1,0.733379017256822,0.67974876521354,0.830555555555556,0.88,25,0.0745614035087719,0.557251908396947,0.166666666666667,25,-202.079251717736,3
5590a34cfdf99b729d4f69dc,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_5590a34cfdf99b729d4f69dc_T1_2024-05-08_19h14.58.345.csv,0.827281514843016,0.8,0.178350824508543,1,1,0,0.664227658076554,2,23.7724676409656,4,4,0.71973565614151,0.5,0.570684195562731,0.5,0.421802390374177,0.5,0.593825226913297,0.5,0.114914235137274,0.2,0.289039194214968,0.2,0.180764427202904,0.2,1,0.671634239822671,0.650348072995131,0.741666666666667,0.9375,16,0.0509259259259259,0.377622377622378,0.25,16,-237.141521145321,3
5596a991fdf99b2d1e834690,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_5596a991fdf99b2d1e834690_T1_2024-05-18_18h56.17.515.csv,0.504355996904917,0.8,0.465019423896057,1,1,0,0.822155230559623,2,22.5994262315385,4,4,0.186663615206242,0.5,0.593696575387193,0.5,0.614138396413341,0.5,0.44947455114367,0.5,0.493843425173189,0.2,0.50141263934901,0.2,0.261975805566191,0.2,1,0.671824274916039,0.748507387854324,0.744444444444444,0.82051282051282,39,0.0137614678899083,0.269503546099291,0.333333333333333,39,-247.4813157769,3
55bcd160fdf99b1c4e4ae632,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_55bcd160fdf99b1c4e4ae632_T1_2024-05-08_07h47.30.203.csv,0.909111254223176,0.8,0.733574889218137,1,1,0,1.20683157086611,2,13.7212568694715,4,4,0.119035183096836,0.5,0.186197678359239,0.5,0.534473046658189,0.5,0.20694015760105,0.5,0.495002520629229,0.2,0.537495321068052,0.2,0.165835786085533,0.2,1,0.712539965460215,0.899654561851463,0.791666666666667,0.928571428571429,84,0.0131004366812227,0.507692307692308,0.826086956521739,84,-221.56204489732,3
55cc7cfb74297e0005235c27,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_55cc7cfb74297e0005235c27_T2_2024-06-11_09h39.26.712.csv,0.845490185922196,0.8,1.41140542742435,1,1,0,1.56006935814887,2,8.27532417989021,4,4,0.0566159812079362,0.5,0.223696107288194,0.5,0.28062065375537,0.5,0.184806955335971,0.5,0.452693517178352,0.2,0.304752685209216,0.2,0.036381942567586,0.2,1,0.654152659821804,0.954810958368553,0.752777777777778,0.976076555023923,209,0.0411522633744856,0.112068965517241,0.630434782608696,209,-268.746280410445,3
55eb04337480920010aa9e0d,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_55eb04337480920010aa9e0d_T2_2024-06-21_08h40.47.183.csv,0.908999001707399,0.8,0.944581478769758,1,1,0,0.99845049170576206,2,8.44079207231907,4,4,0.129590834440961,0.5,0.136121034039004,0.5,0.551974426207166,0.5,0.191792391687613,0.5,0.263709967402209,0.2,0.136554657464965,0.2,0.0629578709096198,0.2,1,0.677254975294807,0.938074100045926,0.8,0.975308641975309,81,0.0643776824034335,0.515873015873016,0.466666666666667,81,-238.421233681146,3
562c2ff0733ea000111630df,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_562c2ff0733ea000111630df_T1_2024-05-21_21h01.03.413.csv,0.912057620697524,0.8,1.79100025480627,1,1,0,1.27816893630643,2,6.87349687725405,4,4,0.0861572631977798,0.5,0.0890178959732329,0.5,0.396308524451639,0.5,0.104912764283396,0.5,0.524717237507764,0.2,0.587819799184224,0.2,0.54974298675017,0.2,1,0.764909894354248,0.908426428829803,0.869444444444444,0.933333333333333,210,0.0254237288135593,0.32520325203252,0.875,210,-233.37889360755,3
562eb896733ea000051638c6,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_562eb896733ea000051638c6_T2_2024-06-12_20h24.55.599.csv,0.853118127643439,0.8,2.35112401784739,1,1,0,0.985697861970953,2,2.27832674164798,4,4,0.385113320025635,0.5,0.108174544369314,0.5,0.694319618875685,0.5,0.0885746346691122,0.5,0.215126491453414,0.2,0.353582421965116,0.2,0.0467988734692466,0.2,1,0.704597221210882,0.984776272898881,0.786111111111111,1,74,0.0229357798165138,0.553191489361702,0.84,74,-220.854201080143,3
5658000ca9872d0011e1ba26,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_5658000ca9872d0011e1ba26_T2_2024-06-21_10h14.17.416.csv,0.883451758156051,0.8,0.774347154425717,1,1,0,1.93542206300072,2,12.9542655109551,4,4,0.0617874906124737,0.5,0.218876879988092,0.5,0.270244742539872,0.5,0.139316677597176,0.5,0.307845820017311,0.2,0.199366453407706,0.2,0.323677524611633,0.2,1,0.644272035014292,0.867001566491226,0.758333333333333,0.917695473251029,243,0.0348837209302326,0.118811881188119,0.816326530612245,243,-308.466582615123,3
